year,route_id,route_name_current,company_name_current,metric,rank,sttn_id,sttn_nm,count,route_total,share_pct,stop_on_current_route
2025,25517001,,,goff,1,1102393,,40,40,100.0,False
2025,25517001,,,ride,1,1102393,,2644,2644,100.0,False
2025,42001001,200,강릉-동진버스,goff,1,4200252,신영극장,19400,100051,19.390111,True
2025,42001001,200,강릉-동진버스,goff,2,4200253,교보생명,14406,100051,14.398657,True
2025,42001001,200,강릉-동진버스,goff,3,4200356,강원대학교,4700,100051,4.697604,True
2025,42001001,200,강릉-동진버스,goff,4,4201044,안목커피거리,4493,100051,4.49071,True
2025,42001001,200,강릉-동진버스,goff,5,4200249,용강동서부시장,4363,100051,4.360776,True
2025,42001001,200,강릉-동진버스,ride,1,4200252,신영극장,32009,217406,14.723145,True
2025,42001001,200,강릉-동진버스,ride,2,4200356,강원대학교,22943,217406,10.553067,True
2025,42001001,200,강릉-동진버스,ride,3,4200253,교보생명,20145,217406,9.266074,True
2025,42001001,200,강릉-동진버스,ride,4,4200088,문성고등학교,12452,217406,5.727533,True
2025,42001001,200,강릉-동진버스,ride,5,4200087,강원대학교후문,12220,217406,5.62082,True
2025,42001002,202,강릉-동진버스,goff,1,4200253,교보생명,24277,118056,20.56397,True
2025,42001002,202,강릉-동진버스,goff,2,4201242,경포해변,12416,118056,10.517043,True
2025,42001002,202,강릉-동진버스,goff,3,4200293,강릉역건너편,11729,118056,9.935116,True
2025,42001002,202,강릉-동진버스,goff,4,4200120,강릉시외.고속터미널,11510,118056,9.74961,True
2025,42001002,202,강릉-동진버스,goff,5,4200543,미디어촌5단지,5836,118056,4.943417,True
2025,42001002,202,강릉-동진버스,ride,1,4200253,교보생명,37886,206561,18.341313,True
2025,42001002,202,강릉-동진버스,ride,2,4201242,경포해변,30020,206561,14.533237,True
2025,42001002,202,강릉-동진버스,ride,3,4201260,강문해변입구,17514,206561,8.478851,True
2025,42001002,202,강릉-동진버스,ride,4,4200251,한국은행,15388,206561,7.449615,True
2025,42001002,202,강릉-동진버스,ride,5,4200120,강릉시외.고속터미널,8154,206561,3.947502,True
2025,42001003,206,강릉-동진버스,goff,1,4200252,신영극장,27160,154993,17.523372,True
2025,42001003,206,강릉-동진버스,goff,2,4200253,교보생명,17807,154993,11.488906,True
2025,42001003,206,강릉-동진버스,goff,3,4200120,강릉시외.고속터미널,12730,154993,8.213274,True
2025,42001003,206,강릉-동진버스,goff,4,4200047,강릉고정문,7305,154993,4.713116,True
