year,route_id,route_name_current,company_name_current,metric,rank,sttn_id,sttn_nm,count,route_total,share_pct,stop_on_current_route,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42001004,207,강릉-동진버스,ride,4,4200251,한국은행,282,4960,5.685484,True,2025-05-27,2025-06-03,8,허균.허난설헌기-허균.허난설헌기,8
2025,42001004,207,강릉-동진버스,ride,5,4200106,KT,261,4960,5.262097,True,2025-05-27,2025-06-03,8,허균.허난설헌기-허균.허난설헌기,8
2025,42001005,300,강릉-동진버스,goff,1,4200253,교보생명,1103,6333,17.416706,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,goff,2,4200196,작은다리,438,6333,6.916153,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,goff,3,4200212,연곡면사무소,351,6333,5.542397,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,goff,4,4200198,원마트,331,6333,5.226591,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,goff,5,4200200,주문진시외버스터미널,273,6333,4.310753,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,ride,1,4200253,교보생명,3856,13094,29.448602,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,ride,2,4200721,강릉역,1392,13094,10.630823,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,ride,3,4200251,한국은행,1215,13094,9.279059,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,ride,4,4201205,입암2.3주공,870,13094,6.644265,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001005,300,강릉-동진버스,ride,5,4200250,용강동서부시장,524,13094,4.001833,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,goff,1,4200253,교보생명,129,1040,12.403846,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,goff,2,4200120,강릉시외.고속터미널,76,1040,7.307692,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,goff,3,4200196,작은다리,62,1040,5.961538,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,goff,4,4200446,강릉아산병원(주문진방면),61,1040,5.865385,True,2025-05-27,2025-06-03,8,공단-향호리,7
2025,42001007,302,강릉-동진버스,goff,5,4200195,주문진항입구,44,1040,4.230769,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,ride,1,4200253,교보생명,425,2251,18.880498,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,ride,2,4200251,한국은행,157,2251,6.974678,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,ride,3,4200120,강릉시외.고속터미널,137,2251,6.086184,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,ride,4,4200762,입암현대아파트,114,2251,5.064416,True,2025-05-27,2025-06-03,8,공단-향호리,7
2025,42001007,302,강릉-동진버스,ride,5,4200765,성덕초등학교,108,2251,4.797868,True,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001012,315,강릉-동진버스,goff,1,4200229,즈므.과학단지,29,268,10.820896,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,goff,2,4200067,홍제동주민센터,23,268,8.58209,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,goff,3,4200454,작은다리사거리,18,268,6.716418,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,goff,4,4200446,강릉아산병원(주문진방면),17,268,6.343284,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,goff,5,4201146,파란바다지역아동센터,16,268,5.970149,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,ride,1,4200063,가톨릭관동대학교,61,663,9.200603,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,ride,2,4200357,내곡교,43,663,6.485671,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,ride,3,4200120,강릉시외.고속터미널,41,663,6.184012,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,ride,4,4200065,보건소,34,663,5.128205,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42001012,315,강릉-동진버스,ride,5,4200211,삼천리아파트,29,663,4.374057,True,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42002001,101,강릉-동진버스,goff,1,4201198,남대천.강릉교,202,609,33.16913,True,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002001,101,강릉-동진버스,goff,2,4200252,신영극장,104,609,17.077176,True,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002001,101,강릉-동진버스,goff,3,4201199,남대천.강릉교,43,609,7.060755,True,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002001,101,강릉-동진버스,goff,4,4200249,용강동서부시장,31,609,5.090312,True,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002001,101,강릉-동진버스,goff,5,4200094,강릉여고,23,609,3.776683,True,2025-05-27,2025-06-03,8,공단-공단,7
2025,42002001,101,강릉-동진버스,ride,1,4201199,남대천.강릉교,290,1277,22.709475,True,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002001,101,강릉-동진버스,ride,2,4200121,강릉시외.고속터미널,154,1277,12.059514,True,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002001,101,강릉-동진버스,ride,3,4200252,신영극장,77,1277,6.029757,True,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002001,101,강릉-동진버스,ride,4,4200704,학산2리,51,1277,3.993735,False,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002001,101,강릉-동진버스,ride,5,4200702,옥봉마을,49,1277,3.837118,False,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002003,103,강릉-동진버스,goff,1,4201198,남대천.강릉교,146,449,32.516704,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
