route_id,route_name,company_name,response_order,station_order,sttn_id,sttn_nm,longitude,latitude,turn_seq,up_down,first_time,last_time
42002001,101,강릉-동진버스,1,1,4201209,공단,128.92205416940635,37.765196014305694,43,,07:20,19:30
42002001,101,강릉-동진버스,2,2,4201205,입암2.3주공,128.9161850255649,37.765072488547595,43,,07:20,19:30
42002001,101,강릉-동진버스,3,3,4200262,로얄아파트.포남1동주민센터,128.90933288179943,37.76545703763149,43,,07:20,19:30
42002001,101,강릉-동진버스,4,4,4200318,포남시장,128.90766061502285,37.76392281820552,43,,07:20,19:30
42002001,101,강릉-동진버스,5,5,4200259,용지각,128.90537716328666,37.76184119439877,43,,07:20,19:30
42002001,101,강릉-동진버스,6,6,4200257,옥천119안전센터,128.90305174420297,37.761041080134646,43,,07:20,19:30
42002001,101,강릉-동진버스,7,7,4200721,강릉역,128.8992580056024,37.76416330670135,43,,07:20,19:30
42002001,101,강릉-동진버스,8,8,4200315,구터미널,128.8988430353628,37.76163002626936,43,,07:20,19:30
42002001,101,강릉-동진버스,9,9,4201037,말나눔터공원,128.8946789617544,37.758644529934365,43,,07:20,19:30
42002001,101,강릉-동진버스,10,10,4200114,고용센터,128.88893105798073,37.75744085258255,43,,07:20,19:30
42002001,101,강릉-동진버스,11,11,4200116,적십자입구,128.88726321660565,37.757196360936135,43,,07:20,19:30
42002001,101,강릉-동진버스,12,12,4200118,터미널오거리,128.8840640923818,37.75608209292866,43,,07:20,19:30
42002001,101,강릉-동진버스,13,13,4200750,강릉시청앞,128.88013307678156,37.753651204654936,43,,07:20,19:30
42002001,101,강릉-동진버스,14,14,4200121,강릉시외.고속터미널,128.87911620808939,37.75486594086855,43,,07:20,19:30
42002001,101,강릉-동진버스,15,15,4200119,터미널오거리,128.88381140539954,37.755579088211434,43,,07:20,19:30
42002001,101,강릉-동진버스,16,16,4200117,적십자입구,128.88647213220725,37.75676623567213,43,,07:20,19:30
42002001,101,강릉-동진버스,17,17,4200115,고용센터,128.8890663454416,37.75714942132559,43,,07:20,19:30
42002001,101,강릉-동진버스,18,18,4200249,용강동서부시장,128.89167287030088,37.75492247590215,43,,07:20,19:30
42002001,101,강릉-동진버스,19,19,4200252,신영극장,128.8961287589657,37.75448236011555,43,,07:20,19:30
42002001,101,강릉-동진버스,20,20,4201199,남대천.강릉교,128.9010687000649,37.75417893755025,43,,07:20,19:30
42002001,101,강릉-동진버스,21,21,4201197,강릉중입구,128.9042740269736,37.752586182446684,43,,07:20,19:30
42002001,101,강릉-동진버스,22,22,4201195,노암현대아파트,128.9064519321124,37.750397397899654,43,,07:20,19:30
42002001,101,강릉-동진버스,23,23,4200792,부흥마을,128.90633218029933,37.74678151751788,43,,07:20,19:30
42002001,101,강릉-동진버스,24,24,4200736,똑갑재,128.9084947975427,37.742997829596284,43,,07:20,19:30
42002001,101,강릉-동진버스,25,25,4200734,평안의집,128.90504736881275,37.740698188102115,43,,07:20,19:30
42002001,101,강릉-동진버스,26,26,4200732,삼흥사,128.901198738292,37.739798973918525,43,,07:20,19:30
42002001,101,강릉-동진버스,27,27,4200730,보리사입구,128.89777570598176,37.73631225974452,43,,07:20,19:30
42002001,101,강릉-동진버스,28,28,4200728,모산초교,128.90028293302265,37.73143070810136,43,,07:20,19:30
42002001,101,강릉-동진버스,29,29,4200726,가축위생시험사업소,128.90125274168807,37.729547291652196,43,,07:20,19:30
42002001,101,강릉-동진버스,30,30,4200681,금강사입구,128.90287627896166,37.72624677465358,43,,07:20,19:30
42002001,101,강릉-동진버스,31,31,4200683,화신주방,128.90243322099724,37.721781731022375,43,,07:20,19:30
42002001,101,강릉-동진버스,32,32,4200685,학산부대후문,128.90185937428248,37.71950094147702,43,,07:20,19:30
42002001,101,강릉-동진버스,33,33,4200687,담산1리,128.90238189653846,37.71752043471821,43,,07:20,19:30
42002001,101,강릉-동진버스,34,34,4200689,담산2리,128.90107050248153,37.7152173518283,43,,07:20,19:30
42002001,101,강릉-동진버스,35,35,4200691,학산부대앞,128.9016572721052,37.71202064934549,43,,07:20,19:30
42002001,101,강릉-동진버스,36,36,4200693,대경상사앞,128.89804496237466,37.71104193868198,43,,07:20,19:30
42002001,101,강릉-동진버스,37,37,4200695,학산둔지,128.89465764592643,37.71376560853827,43,,07:20,19:30
42002001,101,강릉-동진버스,38,38,4200697,학산1리,128.89410318195965,37.709756692977734,43,,07:20,19:30
42002001,101,강릉-동진버스,39,39,4200699,굴산사지,128.89328371501892,37.70698044216881,43,,07:20,19:30
42002001,101,강릉-동진버스,40,40,4200701,옥봉마을,128.89299808417252,37.703844690722654,43,,07:20,19:30
42002001,101,강릉-동진버스,41,41,4201422,구정옥봉길,128.8928182495002,37.70145893549343,43,,07:20,19:30
42002001,101,강릉-동진버스,42,42,4200703,학산2리,128.89237120059903,37.69808781147039,43,,07:20,19:30
42002001,101,강릉-동진버스,43,43,4200706,학산설래,128.8930578775653,37.69580131479523,43,,07:20,19:30
42002001,101,강릉-동진버스,44,44,4200707,대성사입구,128.88866018338805,37.699701320397004,43,,07:20,19:30
42002001,101,강릉-동진버스,45,45,4200709,학산2리마을회관,128.8886619883527,37.70619292326437,43,,07:20,19:30
42002001,101,강릉-동진버스,46,46,4200711,굴산사입구,128.88905996426578,37.70832144703753,43,,07:20,19:30
42002001,101,강릉-동진버스,47,47,4200713,사이말교,128.88807348333134,37.711972121452696,43,,07:20,19:30
42002001,101,강릉-동진버스,48,48,4201423,조순생가,128.88844816983337,37.713682167259954,43,,07:20,19:30
42002001,101,강릉-동진버스,49,49,4201424,학산1리,128.88951590870155,37.71580085246317,43,,07:20,19:30
42002001,101,강릉-동진버스,50,50,4201425,성황당교,128.89068764552184,37.7193346055837,43,,07:20,19:30
42002001,101,강릉-동진버스,51,51,4201429,삿갓2교,128.89440260554116,37.72191310597893,43,,07:20,19:30
42002001,101,강릉-동진버스,52,52,4201426,동해식품,128.89855245250976,37.72443751894129,43,,07:20,19:30
42002001,101,강릉-동진버스,53,53,4200682,금강사입구,128.90297134006664,37.726211833119876,43,,07:20,19:30
42002001,101,강릉-동진버스,54,54,4200725,가축위생시험사업소,128.90146946473587,37.729510021653965,43,,07:20,19:30
42002001,101,강릉-동진버스,55,55,4200727,모산초교,128.90037137412145,37.73145457144734,43,,07:20,19:30
42002001,101,강릉-동진버스,56,56,4200729,보리사입구,128.89785144363964,37.73626831506908,43,,07:20,19:30
42002001,101,강릉-동진버스,57,57,4200731,삼흥사,128.90121043083064,37.739730650079785,43,,07:20,19:30
42002001,101,강릉-동진버스,58,58,4200733,평안의집,128.90510785537055,37.74063841474535,43,,07:20,19:30
42002001,101,강릉-동진버스,59,59,4200735,똑갑재,128.9083233266339,37.74372779918021,43,,07:20,19:30
42002001,101,강릉-동진버스,60,60,4200791,부흥마을,128.90637359052232,37.746896583401664,43,,07:20,19:30
42002001,101,강릉-동진버스,61,61,4201194,병무청,128.90730907557136,37.749719639382455,43,,07:20,19:30
42002001,101,강릉-동진버스,62,62,4201196,강릉중입구,128.90469921141985,37.752586496675974,43,,07:20,19:30
42002001,101,강릉-동진버스,63,63,4201198,남대천.강릉교,128.9010015999516,37.75454267936518,43,,07:20,19:30
42002001,101,강릉-동진버스,64,64,4200094,강릉여고,128.90248424479844,37.75904463050879,43,,07:20,19:30
42002001,101,강릉-동진버스,65,65,4200258,용지각,128.90534669055177,37.76147384168322,43,,07:20,19:30
42002001,101,강릉-동진버스,66,66,4200260,동남아파트,128.9088062489658,37.764638779656714,43,,07:20,19:30
42002001,101,강릉-동진버스,67,67,4201206,입암2.3주공,128.9164847952377,37.764981798289845,43,,07:20,19:30
42002001,101,강릉-동진버스,68,68,4201207,현대자동차서비스,128.9189460603978,37.76507644083287,43,,07:20,19:30
42002001,101,강릉-동진버스,69,69,4200191,공단,128.92224127533925,37.765245144772656,43,,07:20,19:30
42002003,103,강릉-동진버스,1,1,4200044,차고지대기(미정차),128.93316603832002,37.76938974153612,34,,07:50,19:10
42002003,103,강릉-동진버스,2,2,4201205,입암2.3주공,128.9161850255649,37.765072488547595,34,,07:50,19:10
42002003,103,강릉-동진버스,3,3,4200113,강릉관광개발공사,128.90865897771857,37.76820323697218,34,,07:50,19:10
