route_id,route_name,company_name,company_id,start_stop_name,end_stop_name,first_time,last_time,total_run_raw
42002001,101,강릉-동진버스,4200200,공단,학산설래,08:35,19:30,13회
42002003,103,강릉-동진버스,4200200,차고지대기(미정차),어단리.법왕사,08:20(강릉관광개발공사 출발),19:10,13회
42002006,104-2,강릉-동진버스,4200200,안목,제비리,11:05,19:55,7회
42002010,110,강릉-동진버스,4200200,강릉역건너편,옥계현내시장,08:10,20:10,12회
42002013,112,강릉-동진버스,4200200,차고지대기(미정차),모래시계공원,07:35,20:35,14회
42002014,113,강릉-동진버스,4200200,강릉역건너편,산성우1리,06:45,"20:50
오리동까지",14회
42001001,200,강릉-동진버스,4200200,안목,강원대학교,07:35,21:08,46회
42091002,202,강릉-동해상사,4200100,경포해변,경포해변(종점),07:45,19:14,8회
42001002,202,강릉-동진버스,4200200,경포해변,경포해변(종점),07:19,20:06,16회
42002072,202-1,강릉-동진버스,4200200,경포해변,경포해변(종점),08:50,"20:50
(우미린 미경유)",15회
42001003,206,강릉-동진버스,4200200,강릉고등학교,부영2차아파트,06:50,21:20,30회
42092144,206-1,강릉-동해상사,4200100,강릉고등학교,부영2차아파트,09:20,15:15,4회
42001004,207,강릉-동진버스,4200200,허균.허난설헌기념공원,강원대학교,"07:30
(강고발)","19:05
(강고종점)",14회
42002085,220,강릉-동진버스,4200200,안목,회산종점,-,21:02,45회
42002035,222,강릉-동진버스,4200200,안목,가톨릭관동대학교,09:22,19:40,20회
42002089,223-1,강릉-동진버스,4200200,가톨릭관동대학교,안목커피거리,07:00,21:39,30회
42002038,227,강릉-동진버스,4200200,남항진해변,부영2차아파트,07:40,21:10,30회
42002043,230-1,강릉-동진버스,4200200,강문해변,부영2차아파트,-,17:25,11회
42001005,300,강릉-동진버스,4200200,공단,향호리,06:15,21:25,43회
42091005,300,강릉-동해상사,4200100,안목,향호리,-,21:38,43회
42092076,300-1,강릉-동해상사,4200100,향호리,안목커피거리,06:10,21:10,40회
42002090,300-2,강릉-동진버스,4200200,향호리,공단,06:35,21:30,41회
42002131,504-1,강릉-동진버스,4200200,안목,성산,06:53,21:10,67회
42002109,922,강릉-동진버스,4200200,연곡면사무소,소금강산종점,08:05,19:45,14회
42092109,922,강릉-동해상사,4200100,연곡면사무소,소금강산종점,06:45,17:30,8회
42092114,930-1,강릉-동해상사,4200100,사천면사무소,경포해변(종점),10:00,17:55,3회
42092105,931,강릉-동해상사,4200100,경포해변,사기막,07:00,19:20,6회
42002135,941-2,강릉-동진버스,4200200,KTX공영주차장환승장,왕산사,"09:30
동물사랑센터 경유","15:05
동물사랑센터 경유",4회
42002143,945-1,강릉-동진버스,4200200,KTX공영주차장환승장,KTX공영주차장환승장,07:45,19:30,6회
42002125,955,강릉-동진버스,4200200,남대천.강릉교,월호평동,09:20,17:30,9회
42002127,956-1,강릉-동진버스,4200200,강동무료주차장,옥계현내시장,09:40,15:05,4회
42002130,958,강릉-동진버스,4200200,강동무료주차장,금진해양파출소,"07:40
썬크루즈 경유","19:20
금진초교발(19:15)",12회
42092099,961,강릉-동해상사,4200100,옥계현내시장,남양2리경로당,07:35,17:35,15회
42092100,962,강릉-동해상사,4200100,옥계현내시장,산계리종점,06:50,17:55,11회
42092141,시티1,강릉-동해상사,4200100,안목커피거리,주문진해변,08:40,19:40,16회
42002141,시티1,강릉-동진버스,4200200,안목커피거리,주문진해변,08:00,19:20,16회
42002002,102 (운행 중단),강릉-동진버스,4200200,안목.강릉항,어단리.법왕사,,,-
42002004,104,강릉-동진버스,4200200,안목,솔향수목원입구,07:12,08:00,2회
42002005,104-1,강릉-동진버스,4200200,안목,제비리,09:05,18:05,6회
42091001,200,강릉-동해상사,4200100,안목,강원대학교,06:50,19:53,26회
42001013,201 (운행 중단),강릉-동진버스,4200200,안목,강원대학교,,,-
42091013,201 (운행 중단),강릉-동해상사,4200100,안목,강원대학교,,,-
42092072,202-1,강릉-동해상사,4200100,경포해변,경포해변(종점),07:06,18:35,9회
42002096,202-2,강릉-동진버스,4200200,경포해변,경포해변(종점),07:32,07:58,2회
42092096,202-2,강릉-동해상사,4200100,경포해변,경포해변(종점),08:24,08:24,1회
42002024,203 (운행 폐지),강릉-동진버스,4200200,안목,유천동,,,-
42002026,205,강릉-동진버스,4200200,공단,강원대학교,-,16:53,1회
42091003,206,강릉-동해상사,4200100,강릉고등학교,부영2차아파트,06:40,20:50,26회
42002144,206-1,강릉-동진버스,4200200,강릉고등학교,부영2차아파트,11:40,17:35,4회
42091004,207,강릉-동해상사,4200100,허균.허난설헌기념공원,강원대학교,"07:10
(강고발)","18:45
(강고종점)",14회
42002030,211,강릉-동진버스,4200200,안목,한국폴리텍대학,-,"7:45(남산초교)
7:45 남산초교 출발",5회
42002078,211-1,강릉-동진버스,4200200,안목,한국폴리텍대학,08:05,18:15,8회
42092151,212,강릉-동해상사,4200100,안목,안목커피거리,09:50,18:20,3회
42002151,212,강릉-동진버스,4200200,안목,안목커피거리,07:30,15:30,3회
42092152,212-1,강릉-동해상사,4200100,안목,안목커피거리,08:00,16:00,3회
42002152,212-1,강릉-동진버스,4200200,안목,안목커피거리,09:20,17:50,3회
42002036,223,강릉-동진버스,4200200,안목,가톨릭관동대학교,07:16,20:59,28회
42002037,224,강릉-동진버스,4200200,안목,가톨릭관동대학교,16:40,16:40,1회
42002084,224-1,강릉-동진버스,4200200,안목,서희아파트,08:10,08:10,1회
42002086,225,강릉-동진버스,4200200,안목,회산종점,"08:35
홀수일 운행","17:50
홀수일 운행",4회
42091015,225,강릉-동해상사,4200100,안목,회산종점,"08:35
짝수일 운행","17:50
짝수일 운행",4회
42091016,225-1,강릉-동해상사,4200100,회산종점,안목커피거리,"09:50
짝수일 운행","19:05
짝수일 운행",4회
42002087,225-1,강릉-동진버스,4200200,회산종점,안목커피거리,"09:50
홀수일 운행","19:05
홀수일 운행",4회
42002040,228,강릉-동진버스,4200200,남항진해변,미디어촌5단지,07:10,20:28,29회
42002042,230,강릉-동진버스,4200200,강문해변,부영2차아파트,07:50,19:30,8회
42002104,234,강릉-동진버스,4200200,강릉역,강릉역,07:45,07:45,1회
42092104,234 (운행 중단),강릉-동해상사,4200100,강릉역,강릉역,,,-
42092153,300-1(강릉역),강릉-동해상사,4200100,향호리,안목커피거리,08:45,17:05,3회
42002153,300-2(강릉역),강릉-동진버스,4200200,향호리,공단,10:15,15:30,3회
42091006,301 (운행 폐지),강릉-동해상사,4200100,향호리,강릉고입구,,,-
42001007,302,강릉-동진버스,4200200,공단,향호리,06:00,17:10,9회
42091007,302,강릉-동해상사,4200100,안목,향호리,07:35,18:28,5회
42092077,302-1,강릉-동해상사,4200100,향호리,안목커피거리,08:17,"17:57
과학산업단지 경유",5회
42002091,302-2,강릉-동진버스,4200200,향호리,공단,07:22,16:25,10회
42092092,314,강릉-동해상사,4200100,안목,향호리,06:58,18:47,8회
42002092,314,강릉-동진버스,4200200,공단,향호리,08:57,19:33,7회
42092094,314-1,강릉-동해상사,4200100,향호리,안목커피거리,08:24,17:40,8회
42002094,314-2,강릉-동진버스,4200200,향호리,공단,08:05,19:15,7회
42091012,315,강릉-동해상사,4200100,가톨릭관동대학교,향호리,09:29,15:04,6회
42001012,315,강릉-동진버스,4200200,가톨릭관동대학교,향호리,"07:20
과학산업단지 경유",11:25,5회
42002061,504 (운행 폐지),강릉-동진버스,4200200,안목,성산,,,-
42002132,504-2,강릉-동진버스,4200200,경포고교,성산,08:25,08:25,1회
42002112,911,강릉-동진버스,4200200,주문진시외버스터미널,주문진시외버스터미널,07:20,17:55,8회
42002113,912,강릉-동진버스,4200200,주문진시외버스터미널,궁궁동,07:30,18:30,16회
42002145,913,강릉-동진버스,4200200,주문진시외버스터미널,우신아파트,09:00(공시내길경유),15:55(공시내길경유),8회
42002107,921,강릉-동진버스,4200200,연곡면사무소,송천종점,06:30,17:30,12회
