year,route_id,route_name_current,company_name_current,route_in_current_bis,identified_stop_count,ride_total,goff_total,unknown_stop_ride,unknown_stop_goff,top_ride_stop_ids,top_ride_stop_names,top_ride_count_each,top_goff_stop_ids,top_goff_stop_names,top_goff_count_each
2025,42091016,225-1,강릉-동해상사,True,41,8274,4846,0,0,4200252,신영극장,1465,4200252,신영극장,1427
2025,42091017,961-1,강릉-동해상사,True,15,357,24,0,0,4201096,한라아파트,146,4202022,옥계현내시장,13
2025,42091018,962-1,강릉-동해상사,True,21,308,36,0,0,4202022,옥계현내시장,166,4202022,옥계현내시장,12
2025,42092072,202-1,강릉-동해상사,True,43,145108,94977,0,0,4200252,신영극장,30266,4200252,신영극장,19145
2025,42092075,,,False,24,2525,117,0,0,4200543,미디어촌5단지,640,4200547,e-편한세상아파트,42
2025,42092076,300-1,강릉-동해상사,True,58,528147,266772,5,0,4200252,신영극장,72716,4200252,신영극장,78436
2025,42092077,302-1,강릉-동해상사,True,64,43969,23174,0,0,4200252,신영극장,4472,4200252,신영극장,6413
2025,42092092,314,강릉-동해상사,True,63,103157,57537,1,0,4200253,교보생명,14107,4200253,교보생명,11942
2025,42092094,314-1,강릉-동해상사,True,61,98203,53744,0,0,4200252,신영극장,13202,4200252,신영극장,11636
2025,42092096,202-2,강릉-동해상사,True,39,7795,4836,0,0,4200252,신영극장,1630,4201242,경포해변,1678
2025,42092099,961,강릉-동해상사,True,24,9126,1296,0,0,4202032,옥계현내시장,3988,4202022,옥계현내시장,674
2025,42092100,962,강릉-동해상사,True,27,3885,719,0,0,4202032,옥계현내시장,1570,4202022,옥계현내시장,405
2025,42092101,963,강릉-동해상사,True,29,5323,875,0,0,4202022,옥계현내시장,2211,4202032,옥계현내시장,715
2025,42092102,964,강릉-동해상사,True,20,6329,1620,0,0,4202022,옥계현내시장,2636,4202032,옥계현내시장,1116
2025,42092103,,,False,22,1917,253,0,0,4200543,미디어촌5단지,858,4200293,강릉역건너편,109
2025,42092105,931,강릉-동해상사,True,36,7032,3627,0,0,4200222,사천면사무소,2590,4200220,모래내행복센터,1761
2025,42092106,932,강릉-동해상사,True,9,440,301,0,0,4200139,석교2리마을회관,244,4200223,사천면사무소,143
2025,42092107,921,강릉-동해상사,True,66,7340,4378,0,0,4200354,연곡면사무소,3661,4200354,연곡면사무소,2865
2025,42092109,922,강릉-동해상사,True,52,6103,3675,0,0,4200354,연곡면사무소,2850,4200354,연곡면사무소,2572
2025,42092111,931-1,강릉-동해상사,True,35,8355,5441,0,0,4200223,사천면사무소,1311,4201242,경포해변,1908
2025,42092112,933,강릉-동해상사,True,8,1291,855,0,0,4200385,덕실리,369,4200385,덕실리,343
2025,42092113,930,강릉-동해상사,True,18,2332,1613,0,0,4201242,경포해변,564,4200220,모래내행복센터,938
2025,42092114,930-1,강릉-동해상사,True,17,2329,1290,0,0,4200222,사천면사무소,1263,4201242,경포해변,724
2025,42092115,934,강릉-동해상사,True,19,6909,4841,0,0,4200447,사천물회거리,1916,4200252,신영극장,2757
2025,42092116,934-1,강릉-동해상사,True,19,5523,3107,0,0,4200253,교보생명,2535,4201242,경포해변,1603
2025,42092117,935,강릉-동해상사,True,19,6985,1691,0,0,4200253,교보생명,4236,4200146,강릉면허시험장,305
2025,42092118,935-1,강릉-동해상사,True,19,8579,5637,1,0,4200159,노동회관,1400,4200252,신영극장,3064
2025,42092141,시티1,강릉-동해상사,True,70,74376,60103,2,0,4201057,안목커피거리,7593,4200244,안목커피거리,8595
2025,42092142,924,강릉-동해상사,True,5,64,43,0,0,4200212,연곡면사무소,38,4200212,연곡면사무소,29
