year,route_id,route_name_current,company_name_current,route_in_current_bis,identified_stop_count,ride_total,goff_total,unknown_stop_ride,unknown_stop_goff,top_ride_stop_ids,top_ride_stop_names,top_ride_count_each,top_goff_stop_ids,top_goff_stop_names,top_goff_count_each,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42092100,962,강릉-동해상사,True,15,104,19,0,0,4202032,옥계현내시장,42,4202022,옥계현내시장,9,2025-05-27,2025-06-03,8,옥계현내시장-옥계현내시장,8
2025,42092101,963,강릉-동해상사,True,16,132,24,0,0,4202022,옥계현내시장,54,4202032,옥계현내시장,20,2025-05-27,2025-06-03,8,옥계현내시장-옥계현내시장,8
2025,42092102,964,강릉-동해상사,True,12,116,31,0,0,4202022,옥계현내시장,47,4202032,옥계현내시장,21,2025-05-27,2025-06-03,8,옥계현내시장-옥계현내시장,8
2025,42092103,,,False,9,51,7,0,0,4200543,미디어촌5단지,21,4200293,강릉역건너편,6,2025-05-27,2025-06-03,8,강릉역건너편-강릉역건너편,5
2025,42092105,931,강릉-동해상사,True,27,174,85,0,0,4200222,사천면사무소,63,4200220,모래내행복센터,43,2025-05-27,2025-06-03,8,경포해변-사기막,8
2025,42092106,932,강릉-동해상사,True,5,10,6,0,0,4200139,석교2리마을회관,6,4200220,모래내행복센터,4,2025-05-27,2025-06-03,8,사천면사무소-사천면사무소,5
2025,42092107,921,강릉-동해상사,True,35,194,104,0,0,4200354,연곡면사무소,109,4200354,연곡면사무소,58,2025-05-27,2025-06-03,8,연곡면사무소-연곡면사무소,8
2025,42092109,922,강릉-동해상사,True,27,157,94,0,0,4200354,연곡면사무소,74,4200354,연곡면사무소,65,2025-05-27,2025-06-03,8,연곡면사무소-연곡면사무소,8
2025,42092111,931-1,강릉-동해상사,True,29,196,124,0,0,4200223,사천면사무소,38,4201242,경포해변,47,2025-05-27,2025-06-03,8,사기막-경포해변,8
2025,42092112,933,강릉-동해상사,True,7,54,38,0,0,4200384 | 4200385,미노리 | 덕실리,15,4200385,덕실리,14,2025-05-27,2025-06-03,8,사천면사무소-사천면사무소,8
2025,42092113,930,강릉-동해상사,True,12,47,34,0,0,4201238,사천진리,12,4200220,모래내행복센터,18,2025-05-27,2025-06-03,8,경포해변-사천면사무소,8
2025,42092114,930-1,강릉-동해상사,True,11,39,25,0,0,4200222,사천면사무소,25,4201242,경포해변,10,2025-05-27,2025-06-03,8,사천면사무소-경포해변,8
2025,42092115,934,강릉-동해상사,True,17,144,86,0,0,4200447,사천물회거리,37,4200252,신영극장,49,2025-05-27,2025-06-03,8,경포해변-KTX공영주차장,8
2025,42092116,934-1,강릉-동해상사,True,15,106,51,0,0,4200253,교보생명,55,4201242,경포해변,24,2025-05-27,2025-06-03,8,KTX공영주차장-경포해변,8
2025,42092117,935,강릉-동해상사,True,13,172,37,0,0,4200253,교보생명,100,4200160,노동회관,9,2025-05-27,2025-06-03,8,KTX공영주차장-사기막,8
2025,42092118,935-1,강릉-동해상사,True,19,254,159,0,0,4200159,노동회관,55,4200252,신영극장,85,2025-05-27,2025-06-03,8,사기막-KTX공영주차장,8
2025,42092141,시티1,강릉-동해상사,True,64,1573,1237,0,0,4201057,안목커피거리,153,4200244,안목커피거리,169,2025-05-27,2025-06-03,8,안목커피거리-안목커피거리,8
2025,42092144,206-1,강릉-동해상사,True,59,833,414,0,0,4200253,교보생명,164,4200252,신영극장,127,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42092151,212,강릉-동해상사,True,39,490,336,0,0,4200721,강릉역,87,4200253,교보생명,56,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42092152,212-1,강릉-동해상사,True,41,510,317,0,0,4200252,신영극장,129,4201044,안목커피거리,70,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42101048,,,False,8,48,11,0,0,4202032,옥계현내시장,23,4202032,옥계현내시장,10,2025-05-27,2025-06-03,8,노봉-노봉,8
2025,42101049,,,False,10,61,26,0,0,4202022,옥계현내시장,21,4202032,옥계현내시장,14,2025-05-27,2025-06-03,8,대동.부영아파트-대동아파트,7
2025,42101054,,,False,7,44,17,0,0,4202022,옥계현내시장,34,4202032,옥계현내시장,11,2025-05-27,2025-06-03,8,옥계현내시장-옥계현내시장,7
2025,43104005,,,False,1,30,20,0,0,4312050,향호리종점,30,4312050,향호리종점,20,2025-05-27,2025-06-03,8,양양종합여객터미-양양종합터미널앞,8
2025,43107001,,,False,2,149,20,0,0,4311940,향호리종점,91,4312050,향호리종점,20,2025-05-27,2025-06-03,8,향호리종점-향호리종점,8
2025,43107002,,,False,2,20,3,0,0,4311940,향호리종점,15,4312050,향호리종점,3,2025-05-27,2025-06-03,8,향호리종점-향호리종점,4
2025,43107003,,,False,2,142,23,0,0,4311940,향호리종점,76,4312050,향호리종점,21,2025-05-27,2025-06-03,8,향호리종점-향호리종점,7
