date,sttn_id,sttn_nm,longitude,latitude,ride_nope,goff_nope,record_present
2025-05-27,4201421,(구)월호평동사무소,128.93612294474602,37.73542207247549,,,False
2025-05-27,4200106,KT,128.91181164590185,37.77275858732733,415,16,True
2025-05-27,4200107,KT,128.9125052185983,37.77309475265464,57,102,True
2025-05-27,4200797,KTX공영주차장환승장,128.8967850727094,37.762190942376556,4,4,True
2025-05-27,4200547,e-편한세상아파트,128.895218937497,37.769600465674785,8,8,True
2025-05-27,4200546,e-편한세상아파트,128.89508217030252,37.76981271024109,31,4,True
2025-05-27,4200368,가둔지유적,128.882327030694,37.82527019767428,,,False
2025-05-27,4200369,가둔지유적,128.882153019297,37.82520493756786,,,False
2025-05-27,4200969,가마골,128.79478117549075,37.72231567644804,3,0,True
2025-05-27,4200533,가마골,128.79546755385968,37.722099902068294,1,2,True
2025-05-27,4201327,가사골,128.95364127595002,37.572947377645065,,,False
2025-05-27,4201326,가사골,128.95366508671376,37.57302501168563,,,False
2025-05-27,4201376,가작다리입구,128.8944549231389,37.76589747732919,5,1,True
2025-05-27,4201375,가작다리입구,128.8943546413669,37.766101443660936,3,2,True
2025-05-27,4200726,가축위생시험사업소,128.90125274168807,37.729547291652196,,,False
2025-05-27,4200725,가축위생시험사업소,128.90146946473587,37.729510021653965,2,0,True
2025-05-27,4200050,가톨릭관동대북문,128.8721246228799,37.73769671240302,79,3,True
2025-05-27,4200063,가톨릭관동대학교,128.87804152995903,37.738296118202754,458,110,True
2025-05-27,4200164,갈골한과,128.84368704633178,37.82462303691711,,,False
2025-05-27,4200163,갈골한과,128.84366180450007,37.82449975412136,,,False
2025-05-27,4200577,갈버든,128.96722169547306,37.666241797535086,,,False
2025-05-27,4200576,갈버든,128.9673126799485,37.66623695179046,,,False
2025-05-27,4200982,감나무민박,128.7987894816223,37.73785238030648,,,False
2025-05-27,4200981,감나무민박,128.79885844666603,37.737822198803215,,,False
2025-05-27,4200914,감자채종포마을,128.83346021183766,37.53338333057324,,,False
2025-05-27,4200915,감자채종포마을,128.8336264013535,37.53350667836036,2,0,True
2025-05-27,4200789,강남동주민센터,128.9049218912141,37.74425517651889,2,0,True
2025-05-27,4201177,강동면사무소,128.9546118972993,37.72728097155823,5,6,True
2025-05-27,4200005,강동무료주차장,129.03151265934136,37.688945395109045,4,0,True
2025-05-27,4200019,강동무료주차장,129.03136520192535,37.68890256497467,1,3,True
2025-05-27,4200016,강동종합복지회관,128.9534097899608,37.72765187744945,17,5,True
2025-05-27,4200026,강동종합복지회관,128.95225785335822,37.72821012800672,1,0,True
2025-05-27,4201178,강동하나로마트,128.95391314710383,37.72680705851969,,,False
2025-05-27,4200525,강동하나로마트,128.95401701690832,37.726761856774424,0,1,True
2025-05-27,4200542,강릉MBC,128.90392601394964,37.77039013888439,5,2,True
2025-05-27,4200058,강릉경찰서,128.906855517511,37.76775326359568,1,16,True
2025-05-27,4200057,강릉경찰서,128.90688706685629,37.768055768979885,63,10,True
2025-05-27,4200287,강릉고등학교,128.91470458416677,37.788540253578724,71,1,True
2025-05-27,4200101,강릉고입구,128.92013482012848,37.783607089094346,123,5,True
2025-05-27,4200102,강릉고입구,128.92044843215433,37.78352944320342,24,22,True
2025-05-27,4200048,강릉고정문,128.91587216477294,37.7875280017598,25,1,True
2025-05-27,4200047,강릉고정문,128.91550078840652,37.78828834947499,2,46,True
2025-05-27,4200112,강릉관광개발공사,128.9085231695166,37.76800046518587,23,8,True
2025-05-27,4200113,강릉관광개발공사,128.90865897771857,37.76820323697218,11,17,True
