period,sttn_id,ride_nope,goff_nope,reason
2025-05-31,4200702,5,0,ID absent from supplied BIS inventory
2025-05-31,4200704,6,1,ID absent from supplied BIS inventory
2025-05-31,4200712,0,2,ID absent from supplied BIS inventory
2025-05-31,4200724,1,1,ID absent from supplied BIS inventory
2025-05-31,4201410,5,0,ID absent from supplied BIS inventory
2025-05-31,4311940,25,0,ID absent from supplied BIS inventory
2025-05-31,4312050,14,5,ID absent from supplied BIS inventory
2025-06-01,4200684,1,0,ID absent from supplied BIS inventory
2025-06-01,4200690,1,0,ID absent from supplied BIS inventory
2025-06-01,4200692,0,1,ID absent from supplied BIS inventory
2025-06-01,4200694,1,0,ID absent from supplied BIS inventory
2025-06-01,4200702,1,1,ID absent from supplied BIS inventory
2025-06-01,4200704,4,0,ID absent from supplied BIS inventory
2025-06-01,4200722,2,0,ID absent from supplied BIS inventory
2025-06-01,4200724,1,1,ID absent from supplied BIS inventory
2025-06-01,4201410,4,0,ID absent from supplied BIS inventory
2025-06-01,4311940,24,0,ID absent from supplied BIS inventory
2025-06-01,4312050,13,5,ID absent from supplied BIS inventory
2025-06-02,4200684,10,1,ID absent from supplied BIS inventory
2025-06-02,4200688,2,1,ID absent from supplied BIS inventory
2025-06-02,4200690,1,0,ID absent from supplied BIS inventory
2025-06-02,4200692,1,0,ID absent from supplied BIS inventory
2025-06-02,4200694,0,1,ID absent from supplied BIS inventory
2025-06-02,4200696,7,0,ID absent from supplied BIS inventory
2025-06-02,4200698,1,0,ID absent from supplied BIS inventory
2025-06-02,4200700,2,0,ID absent from supplied BIS inventory
2025-06-02,4200702,9,1,ID absent from supplied BIS inventory
2025-06-02,4200704,6,4,ID absent from supplied BIS inventory
2025-06-02,4200722,1,1,ID absent from supplied BIS inventory
2025-06-02,4200724,2,1,ID absent from supplied BIS inventory
2025-06-02,4201410,4,0,ID absent from supplied BIS inventory
2025-06-02,4311940,28,0,ID absent from supplied BIS inventory
2025-06-02,4312050,29,10,ID absent from supplied BIS inventory
2025-06-03,4200684,2,0,ID absent from supplied BIS inventory
2025-06-03,4200692,5,1,ID absent from supplied BIS inventory
2025-06-03,4200696,3,0,ID absent from supplied BIS inventory
2025-06-03,4200698,1,0,ID absent from supplied BIS inventory
2025-06-03,4200700,6,0,ID absent from supplied BIS inventory
2025-06-03,4200702,5,1,ID absent from supplied BIS inventory
2025-06-03,4200704,5,2,ID absent from supplied BIS inventory
2025-06-03,4200722,2,2,ID absent from supplied BIS inventory
2025-06-03,4201410,2,0,ID absent from supplied BIS inventory
2025-06-03,4311940,16,0,ID absent from supplied BIS inventory
2025-06-03,4312050,22,10,ID absent from supplied BIS inventory
