point_id,dsi_refined,dsi_static_n,v_pt,v_norm,veh_extra_occ,p_norm,p_resid,dsi_dynamic,dsi_t,d_near,disp,dyn_conf
1,1.1533,0.0038028203098262356,6054.8368397830345,0.3278154899654631,0.1800999999999999,0.5662560445710485,0.9566870176246977,0.7063961496163222,0.46048848435904866,125.29101085601651,3.777384664356678,1
3,1.2186,0.07905256765274951,6076.1610734715205,0.32993798145899234,0.0472999999999999,0.14871688455419518,0.6140133625158392,0.5009513608552141,0.3532867832343515,126.93773429862993,3.777384664356678,1
6,1.3379,0.21653028370191907,6090.067516530725,0.33132214876505345,0.0795,0.24995755437755907,0.7502303882041239,0.5835049089073738,0.4550637900854647,130.91979674794317,3.777384664356678,1
8,1.5712,0.48537815590871863,6089.540579827194,0.3312697005182742,0.0075999999999999,0.02389531337445816,0.373862458242138,0.3569105406680402,0.40187420600227763,134.44154755242883,3.777384664356678,1
10,1.5487,0.4594498356144495,6082.45393460662,0.3305643366389406,0.0059,0.018550309067013816,0.3603559497753715,0.348498887747072,0.38733171950065415,138.59677570577432,3.777384664356678,1
12,1.5543,0.46590310644324545,6070.262544889444,0.32935087587186135,0.0105,0.0330132618989229,0.39762124179242025,0.3704496361560378,0.4038583507565605,143.30712432420017,3.777384664356678,1
13,1.3246,0.20120376548352875,6062.6375229987725,0.32859192507731705,0.011,0.03458532198934779,0.4013650501094344,0.3724013463466517,0.31248219304455865,145.8503073786084,3.777384664356678,1
15,1.2641,0.13148539313671614,6044.676757638942,0.3268042138633803,0.1041,0.3273029108264641,0.824501785508582,0.6264181519937917,0.45319168639381524,151.30456940615633,3.777384664356678,1
17,1.1636,0.0156722291556472,6023.903287200394,0.3247365421739302,0.1071999999999999,0.3370496833870982,0.8338901048266328,0.6312469868908572,0.41579582168353374,157.20633983358337,3.777384664356678,1
18,1.1624,0.014289385406619663,6012.730197954819,0.3236244371751476,0.1198,0.376665597665806,0.8657124755212533,0.6499614362595032,0.427476218460994,160.3097425744853,3.777384664356678,1
19,1.1817,0.03653012237014817,6001.158250556222,0.32247263213136995,0.0632,0.19870839542970734,0.6897822831471029,0.5435930420428412,0.36612102015739867,163.50716756343718,3.777384664356678,1
22,1.15,0.0,6071.772108158445,0.32950112911163565,0.0912,0.2867437604935017,0.7876972698997812,0.6053352058660992,0.3934678838129645,158.82661882666864,3.777384664356678,1
24,1.15,0.0,6154.995236748505,0.3377846803556209,0.0287,0.09023624919038924,0.5110010367469185,0.44206092690318205,0.28733960248706836,151.39201315091736,3.777384664356678,1
26,1.1851,0.040448179659060036,6239.429419445451,0.3461887729553998,0.0173,0.054393279128701524,0.43799677456514224,0.4014571899244647,0.2751040363315731,144.26776647561258,3.777384664356678,1
28,1.1787,0.033073012997579074,6325.758761030826,0.3547814987636841,0.0093,0.029240317681903133,0.37993894712590714,0.36992628267774236,0.2520276382896852,137.28941090761492,3.777384664356678,1
