cid,name,aadt,aadt_annual,n_days,ratio
10,교동사거리,42838.5,37106.39178082192,8,1.1348720064186018
101,포남교사거리,34752.0,33247.925619834714,8,1.0195366771094183
131,죽헌교차로,40215.125,38361.24657534246,8,1.01423456612203
132,난곡교,29721.5,28222.04109589041,8,1.0043967900897823
134,강릉방해정삼거리,6296.0,6232.819178082192,8,0.9187313036136793
135,경포생태저류지,25088.25,24365.02191780822,8,1.0039416160625856
136,경포사거리,46676.0,45055.38356164384,8,1.002168545356951
138,녹색도시체험센터입구삼거리,14214.0,13635.024657534246,8,0.9933732188185609
143,율곡교차로,20745.5,21420.249315068493,8,1.0352359548959815
147,이명사거리,37042.0,34000.18630136986,8,1.0885695453763062
148,모루도서관교차로,21235.125,16320.223880597016,8,1.0985802682413546
17,강릉우체국앞사거리,28459.625,26901.89589041096,8,1.0544814198264385
177,서부지구대앞사거리,8886.875,9002.78904109589,8,0.981483234527289
178,풋살경기장옆정류소옆삼거리,12766.75,12525.819178082193,8,1.0061103636947013
179,경포초사거리,13234.25,13536.224657534247,8,0.9810493041086316
181,솔올중학교부근,13854.375,13542.315068493152,8,0.9900326163520728
182,교동주공1단지,23036.0,22538.057534246575,8,0.9998480869810543
183,솔올중학교삼거리,20937.625,19783.794520547945,8,0.995054882571495
19,강릉경찰서앞,44177.875,42075.78082191781,8,1.0391231409735149
190,교동2공원삼거리,18311.625,18143.601648351647,8,0.9907011659047258
193,강릉MBC앞삼거리,25346.25,24915.005479452055,8,0.9878044197495466
194,원주대입구삼거리,17289.0,16795.205479452055,8,1.0202042128112454
195,솔올교차로,41132.125,40245.56438356164,8,0.9848905562662909
196,지변1교,23576.625,22671.331506849314,8,1.0249735661684218
197,분수공원사거리,33376.625,33321.14246575342,8,0.9931534727329149
199,부영1차아파트사거리,14829.875,14981.53021978022,8,0.9929492927771202
2,홍제교차로,34639.5,31584.86301369863,8,1.0738242698947993
20,포남오거리,34575.25,31519.065753424657,8,1.014575575954282
201,강릉문화원4거리,20812.25,17097.982578397212,8,1.0369609162022306
202,한국수자원공사사거리,31022.875,30720.397260273974,8,1.0131927029265277
207,부영5단지,35335.5,33608.82739726028,8,1.039005472296695
209,롯데시그니쳐앞교차로,14634.375,13836.471232876713,8,1.0320849621181591
210,강일여고,21452.75,19821.895316804406,8,1.0730015540987121
217,커피박물관사거리,19361.75,19199.1397260274,8,0.9572754160596829
22,한솔초앞,30688.875,29454.12328767123,8,1.0114833679209636
222,송정해변입구사거리,12986.625,12458.46301369863,8,0.9752228694644696
224,신도브래뉴아파트삼거리,10761.25,10168.14794520548,8,0.9996914481367448
227,유천초등학교진입부사거리,26003.125,25424.997260273973,8,1.0272738047031633
229,사임당공원입구사거리,22376.625,21965.161643835618,8,1.0136587267817825
236,선수촌삼거리,20170.875,19971.712328767124,8,1.0093566425817935
237,장안교차로,8154.75,7928.208219178082,8,1.0343089069981293
248,내곡육교,35016.375,30598.564383561643,8,1.0878970354244475
249,보리사입구4거리,15797.0,13780.117318435754,8,1.0230129103583538
250,노암한라4차삼거리,23715.125,19625.87123287671,8,1.184668893194461
251,노암하나로마트4거리,26082.625,19708.641666666666,8,1.1808962874328957
256,강릉중앞,21718.875,19652.534246575342,8,1.0940022487069934
260,6주공오거리,23138.375,20545.254794520548,8,1.0133314877117576
266,반갓마을입구삼거리,12498.375,11245.60989010989,8,1.0144196765029856
268,공항대교남단,10209.0,9849.424657534246,8,0.953332555153496
29,강릉고등학교진입부사거리,17180.75,15159.46301369863,8,0.9994494375953096
3,터미널오거리,48208.5,43406.356164383564,8,1.0919146554150907
305,임당성당교차로,19916.125,17246.194520547946,8,1.1661665188878108
37,홍제동주민센터앞(구_911),8070.125,7964.375342465753,8,1.0295637316323043
39,남문사거리,30954.0,28633.194520547946,8,1.080894484858084
41,명주예술마당단일로,7643.25,12043.954385964913,8,0.9766216105214162
43,객사문사거리,35328.25,32777.45479452055,8,1.1862951205793855
53,용지기념각사거리,34865.375,31211.101369863012,8,1.106521152686534
57,현문주방센터앞,21217.625,19718.77808219178,8,1.07399744378219
58,포남1동주민센터부근,44712.75,42311.260273972606,8,1.034213656715185
61,원규앤노블리스,23484.0,22843.435616438357,8,1.011240413199373
63,강릉이마트앞,17119.625,18789.783561643835,8,0.8966943772050268
67,국민건강보험공단부근,6940.25,6777.397260273972,8,1.0038225707304727
7,적십자사거리,38760.25,33765.32602739726,8,1.1365844667372524
72,안목사거리,19514.25,18747.80821917808,8,0.9601866251944011
77,서희아파트사거리,12406.75,11876.054794520547,8,1.0283287796127512
79,회산교남단교차로,17492.5,16735.476712328767,8,1.0264131806046282
81,홍제교,16417.5,15328.780821917808,8,1.0503214780220533
85,내곡교사거리,23054.875,20639.41597796143,8,1.0771742086846536
86,남산교사거리,29179.0,27573.70523415978,8,1.0564528016923687
89,강릉교사거리,45504.625,41638.88493150685,8,1.079222005759783
900,삼일운동기념탑삼거리,7035.625,6793.509589041096,8,0.92554006182874
903,경포인공폭포삼거리,12852.0,12466.791780821917,8,0.9388903093837894
92,강원영동병무지청앞,14160.0,12818.235616438356,8,1.0865263930984965
94,입암주공1단지(구_908),32322.375,30310.46301369863,8,1.0423714465388523
99,강릉중앙고앞삼거리,19806.25,19113.699724517905,8,1.0125691311341614
