cid,name,addr,avg,lon,lat,vw_type,vw_status
10,교동사거리,교동 980-1,38668.03225806452,128.8916515614952,37.75788370173345,PARCEL,OK
101,포남교사거리,입암동 602-1,34220.89655172414,128.9145017867176,37.76441913215112,PARCEL,OK
105,향호3거리,주문진읍 향호리 산57-3,13529.483870967742,128.81058940730492,37.91523924621352,PARCEL,OK
106,주문3거리,주문진읍 향호리 3-5,14048.806451612903,128.81571536353658,37.909434633329774,PARCEL,OK
108,용소마을4거리,주문진읍 주문리 1071,18629.774193548383,128.82090703870824,37.89229549381031,PARCEL,OK
110,장성사거리,주문진읍 교향리 204-1,8391.967741935483,,,,NOT_FOUND
115,주문진터미널오거리,주문진읍 교항리 108,16677.483870967742,128.82540738734974,37.883773327754426,PARCEL,OK
119,국군병원3거리,주문진읍 교항리 산311-10,22458.612903225807,128.83194516350596,37.872070971339326,PARCEL,OK
125,강릉병원4거리,사천면 방동리 708-1,43194.77419354839,128.85532565362232,37.81398793652676,PARCEL,OK
127,한밭교차로,대전동 7-3,37905.12903225807,128.86536576426397,37.79155396244541,PARCEL,OK
129,동부보훈지청,죽헌동 300,39805.645161290326,128.87339817219953,37.78597358937863,PARCEL,OK
131,죽헌교차로,죽헌동 산 26,41613.6129032258,128.87532023755114,37.78363764991357,PARCEL,OK
132,난곡교,죽헌동 921,31141.25806451613,128.87934522273696,37.78281682806541,PARCEL,OK
134,강릉방해정삼거리,저동 2-3,7701.451612903225,128.90331454769182,37.801511611178384,PARCEL,OK
135,경포생태저류지,죽헌동 754,25702.290322580644,128.8836470106099,37.77981006456431,PARCEL,OK
136,경포사거리,교동 1521-1,46823.45161290323,128.88551739894206,37.77798747116769,PARCEL,OK
138,녹색도시체험센터입구삼거리,포남동 937-1,15694.645161290322,128.90720469024603,37.78694031529383,PARCEL,OK
143,율곡교차로,교동 707-90,29817.74193548387,128.89157017406478,37.77040355039388,PARCEL,OK
147,이명사거리,교동 785-2,36236.70967741936,128.89115446726277,37.76511299776659,PARCEL,OK
148,모루도서관교차로,교동 810-7,20101.35483870968,128.8921938261806,37.76301416443718,PARCEL,OK
17,강릉우체국앞사거리,포남동 1118,27944.93548387097,128.90431850761183,37.76560658919927,PARCEL,OK
173,강릉과학일반산업단지입구,대전동 533-5,11811.774193548386,128.85357581447727,37.79342986473044,PARCEL,OK
175,과학단지입구오거리,대전동 산 42-2,11289.290322580646,128.86021767447147,37.79799094561409,PARCEL,OK
177,서부지구대앞사거리,교동 1926,9143.935483870968,128.8756871059759,37.76843625023123,PARCEL,OK
178,풋살경기장옆정류소옆삼거리,교동 1800-2,12614.032258064515,128.87620093713517,37.7716387590405,PARCEL,OK
179,경포초사거리,교동 1824-1,13649.032258064515,128.87878939973865,37.76901289314564,PARCEL,OK
181,솔올중학교부근,지변동 692-1,14121.967741935485,128.8789123570067,37.771675223240784,PARCEL,OK
182,교동주공1단지,교동 1749,23474.70967741936,128.8830287639101,37.76778669210028,PARCEL,OK
183,솔올중학교삼거리,교동 1281-1,21030.870967741936,128.88140877417402,37.7716432148723,PARCEL,OK
19,강릉경찰서앞,포남동 1197-13,43926.90322580645,128.90600745305778,37.76728195036634,PARCEL,OK
190,교동2공원삼거리,포남동 1264-1,18900.09677419355,128.9006544854381,37.77100544829945,PARCEL,OK
193,강릉MBC앞삼거리,포남2동 1090-17,26307.870967741936,128.90526837616397,37.77066025127434,PARCEL,OK
194,원주대입구삼거리,유천동 777,17333.74193548387,128.86953730433163,37.76348073809604,PARCEL,OK
195,솔올교차로,유천동 산 16-9,40252.48387096774,128.87335717393609,37.76512296333945,PARCEL,OK
196,지변1교,지변동 70-1,23365.451612903227,128.87527062686192,37.7715379022461,PARCEL,OK
197,분수공원사거리,교동 1916,34195.6129032258,128.8777358877734,37.76361149060849,PARCEL,OK
199,부영1차아파트사거리,교동 1912,15356.032258064515,128.87361741631292,37.76166467411,PARCEL,OK
2,홍제교차로,홍제동 산 117-5,32753.870967741936,128.8798388948606,37.75352051873273,PARCEL,OK
20,포남오거리,포남동 1241,34489.967741935485,128.91041045059433,37.77102724051282,PARCEL,OK
201,강릉문화원4거리,교동 1448-1,20686.41935483871,128.87356723072128,37.7582525904806,PARCEL,OK
202,한국수자원공사사거리,교동 1863-4,30559.516129032258,128.87824817414358,37.76481026058811,PARCEL,OK
207,부영5단지,교동 1765,34587.41935483871,128.8807383806743,37.76389786814869,PARCEL,OK
209,롯데시그니쳐앞교차로,교동 1791,14728.516129032258,128.88170996961503,37.76138712516802,PARCEL,OK
210,강일여고,교동 1066-12,20448.8064516129,128.88542162295334,37.7621602110968,PARCEL,OK
217,커피박물관사거리,강문동 146-37,22071.225806451614,128.91638402426122,37.794197426027374,PARCEL,OK
22,한솔초앞,포남동 1056-5,31429.74193548387,128.91303538699003,37.77416642864805,PARCEL,OK
222,송정해변입구사거리,송정동 산67-1,13690.225806451614,128.93698690354682,37.77861903162336,PARCEL,OK
224,신도브래뉴아파트삼거리,견소동 197,10789.032258064515,128.9392599966818,37.77690015924637,PARCEL,OK
227,유천초등학교진입부사거리,유천동 792,25805.1935483871,128.8720288916593,37.75947392350396,PARCEL,OK
229,사임당공원입구사거리,홍제동 1018-3,22718.16129032258,128.86727568895776,37.75777111697848,PARCEL,OK
236,선수촌삼거리,홍제동 666-10,20361.67741935484,128.86573377996095,37.75417666846489,PARCEL,OK
237,장안교차로,홍제동 산 306-4,7628.419354838709,128.86224581176114,37.74603018991039,PARCEL,OK
248,내곡육교,내곡동 159-1,32376.16129032258,128.8894031113142,37.74044405656252,PARCEL,OK
249,보리사입구4거리,노암동 549-5,15791.741935483871,128.89810170739304,37.73815250166509,PARCEL,OK
250,노암한라4차삼거리,노암동 607-2,20066.8064516129,128.8941643553702,37.7418870460748,PARCEL,OK
251,노암하나로마트4거리,노암동 589-16,21768.064516129038,128.89619628712757,37.74237472151101,PARCEL,OK
256,강릉중앞,입암동 산85,20196.290322580644,128.91343038694512,37.7521901854911,PARCEL,OK
260,6주공오거리,입암동 101-4,23335.74193548387,128.9182978409724,37.759472489559215,PARCEL,OK
266,반갓마을입구삼거리,병산동 527-7,12517.967741935485,128.93666743681476,37.76255220290478,PARCEL,OK
268,공항대교남단,병산동 889-18,10991.354838709678,128.943741143192,37.76865477084198,PARCEL,OK
279,비행장교차로,청량동 103-1,12926.83870967742,128.92972718692167,37.740310128956814,PARCEL,OK
280,어정교차로,강동면 상시동리 818,9938.41935483871,128.9426363602663,37.73711514979751,PARCEL,OK
284,모전삼거리,강동면 모전리 395-3,8132.387096774193,128.9651049082787,37.72563836155809,PARCEL,OK
286,임곡3거리,강동면 모전리 산17-2,8734.064516129032,128.9898845157411,37.71534175351478,PARCEL,OK
29,강릉고등학교진입부사거리,송정동 951,18487.322580645163,128.92048990786435,37.78399273052538,PARCEL,OK
291,낙풍4거리,옥계면 낙풍리 708-9,6579.612903225807,129.0353329516886,37.621569544195154,PARCEL,OK
292,옥계4거리,옥계면 현내리 223-15,7660.612903225807,129.03864768014506,37.61534563191089,PARCEL,OK
295,주수천교4거리,옥계면 주수리 142-5,6044.870967741936,129.04455774965788,37.61467602343384,PARCEL,OK
296,옥계역4거리,옥계면 주수리 208-3,14425.516129032258,129.0498086511315,37.6180462450803,PARCEL,OK
298,한라시멘트4거리,옥계면 주수리 556-1,16944.41935483871,129.05726244762025,37.61816162388629,PARCEL,OK
