edge_id,dsi,width,rclass,btw,d_center,length,aadt_hat
1,1.3164,6.0,4.0,0.00020682523267838678,2435.4099028571086,89.98228909626536,16620.471759590953
2,1.1598,6.0,4.0,0.0032339710444674254,2505.415258408036,154.99015678484758,16277.736733122947
3,1.1809,6.0,4.0,0.000803814956049638,2547.096608005871,155.04241854310277,16210.152025864356
4,1.2494,6.0,4.0,0.016471302998965875,2552.3088149124073,34.996534839341194,16064.629427464077
5,1.458,6.0,4.0,0.013898397104446744,2562.4324549034386,40.06039516117429,16041.587043700236
6,1.2334,6.0,4.0,0.012518872802481904,2619.3950231100685,189.9352106373367,15878.697235983396
8,1.2007,6.0,4.0,0.010482075146501207,2764.105887259902,154.76882793493914,15484.019669145513
10,1.3186,6.0,4.0,0.005775772362978284,2780.870107825963,75.05618578045004,15463.962849128417
11,1.5199,6.0,4.0,0.006862288865908308,2745.1772238330695,39.968860407375345,15552.377574841365
12,1.1859,6.0,4.0,0.0066913133402275084,2682.723021165318,105.01289868500979,15725.049418881179
13,1.253,6.0,4.0,0.00983092037228542,2634.682192727694,469.628335014453,15844.89187789636
14,1.2421,6.0,4.0,0.010735780765253363,2509.7300521479156,174.9408087801735,16212.495236547655
15,1.4278,3.0,4.0,0.00020682523267838678,2336.404504142382,79.91710148719984,16349.93916420014
16,1.4836,3.0,4.0,0.003208376421923475,2235.0679929183866,358.87890949552377,16577.849856921588
17,1.642,3.0,4.0,0.0036199586349534647,2070.3937806204644,134.47178412931845,17188.52122034392
18,1.497,6.0,4.0,2.5336091003102382e-05,2446.902647822914,104.91785688162753,16676.190205683542
19,1.5581,6.0,4.0,6.258246264664979e-06,2402.972071379329,138.31476716874516,16883.642070265025
20,1.6685,6.0,4.0,0.0005628231644260601,2494.1089113118696,34.945516886643134,16389.02381462031
21,1.7371,6.0,4.0,0.000766028955532575,2532.8892169225724,35.00319609040376,16255.532019717026
22,1.4523,6.0,4.0,0.03269741960900182,2598.325258757364,100.0479481353751,15899.264464419706
23,1.562,6.0,4.0,0.03083479834539814,2664.512932814459,34.964478159106896,15712.144141917846
24,1.5741,6.0,4.0,0.030366339193381595,2706.7790879113786,44.993043170878714,15595.302506690763
25,1.4354,8.0,4.0,0.001456566701137539,2490.555566865095,44.97846702585398,16758.302711362587
26,1.3825,8.0,4.0,9.307135470527405e-06,2500.3056032697255,105.01019973553166,16953.73345437879
27,1.5157,8.0,4.0,0.00043846949327818005,2512.2356943766495,45.03223986182581,16742.6279588048
29,1.4504,3.0,4.0,0.0014477766287487074,3372.6386495821507,194.83864767136134,13653.465306083694
30,1.4569,3.0,4.0,0.0010754912099276111,3343.4428048739355,44.809192043753455,13721.048472751107
31,1.1945,3.0,4.0,0.0006204756980351604,3506.5536420857993,329.48337158499726,13432.560317769665
32,1.4163,3.0,4.0,0.00023864449924429243,3597.363221304619,54.836657943773105,13303.593309657266
33,1.2905,8.0,4.0,0.020134608755601517,1980.048486820366,70.02270863153039,18565.119160645994
34,1.4255,8.0,4.0,0.004169855222337125,1981.7492125952879,14.910127823670072,18635.502479422434
35,1.5275,8.0,4.0,0.003805842812823165,1982.8373999888531,19.95218234001765,18635.15759483993
