lo_m,hi_m,n,dsi,exc,ci_lo,ci_hi,veh,veh_exc
0.0,25.0,394,1.2484611675126904,-0.09730130912282342,-0.12287727432429163,-0.06947103881216043,0.1045926395939086,0.05911869878393977
25.0,50.0,781,1.2882468629961588,-0.05751561363935509,-0.08098633794013277,-0.029611299601231433,0.10068514724711905,0.05521120643715022
50.0,75.0,1080,1.3151503703703704,-0.030612106265143435,-0.0582171686787174,-0.004388950338863884,0.09447768518518515,0.04900374437521632
75.0,100.0,1384,1.336720014450867,-0.009042462184646771,-0.041115034915785165,0.023171499233913817,0.09185556358381501,0.04638162277384618
100.0,125.0,1680,1.347792261904762,0.00202978526924813,-0.027125196642489025,0.029702181029364283,0.08743702380952378,0.04196308299955495
125.0,150.0,1913,1.3634709879769993,0.017708511341485433,-0.011448041581593627,0.04244153886826951,0.08075227391531624,0.035278333105347406
150.0,175.0,1969,1.3578038598273237,0.012041383191809807,-0.02029219558735451,0.03765105631799792,0.07470573895378362,0.029231798143814783
175.0,200.0,1904,1.362298581932773,0.01653610529725924,-0.017887633664326108,0.04739479361237375,0.07095231092436972,0.02547837011440089
200.0,225.0,1904,1.3677936974789915,0.02203122084347764,-0.007656923210409339,0.04945368363669789,0.06865031512605038,0.02317637431608155
225.0,250.0,1852,1.392334881209503,0.04657240457398926,0.019103079137392065,0.07342789977786723,0.060927699784017256,0.015453758974048423
250.0,275.0,1713,1.3862060712200819,0.04044359458456803,0.009103334138562458,0.0687846808003969,0.05982101576182133,0.014347074951852501
275.0,300.0,1533,1.3893738421395956,0.043611365504081734,0.015066592653492084,0.07556570733379386,0.05620267449445528,0.010728733684486451
300.0,325.0,1442,1.382045839112344,0.03628336247683017,0.0010612118127684145,0.069987027477739,0.0532155339805825,0.007741593170613667
325.0,350.0,1338,1.3824550074738415,0.036692530838327686,0.003920639168331741,0.06836430834178375,0.052176532137518654,0.006702591327549821
350.0,375.0,1238,1.3663088852988692,0.02054640866335533,-0.016315497596792294,0.05509410952646476,0.04818691437802906,0.0027129735680602243
375.0,400.0,1179,1.3346193384223919,-0.011143138213121961,-0.04137080273709315,0.021295927678387505,0.047423070398642894,0.0019491295886740617
400.0,425.0,1013,1.3407476801579468,-0.005014796477567085,-0.041383096189538504,0.034656522819112245,0.04504215202369198,-0.0004317887862768516
425.0,450.0,954,1.356838679245283,0.011076202609769048,-0.02803926975866644,0.046988001659833856,0.04667368972746329,0.0011997489174944559
450.0,475.0,839,1.3560679380214542,0.010305461385940351,-0.02297836958737043,0.0467951077874702,0.04454564958283668,-0.0009282912271321511
475.0,500.0,786,1.339206361323155,-0.006556115312358779,-0.048143328616035985,0.02481832484358626,0.04694312977099235,0.001469188961023521
500.0,525.0,722,1.35317756232687,0.0074150856913561825,-0.03916194823875463,0.05768605586404574,0.04655581717451522,0.0010818763645463886
525.0,550.0,699,1.3138280400572246,-0.031934436578289205,-0.06783866601787558,0.0002653845363456142,0.04921101573676679,0.0037370749267979578
550.0,575.0,751,1.3473034620505993,0.0015409854150854052,-0.03527550764162335,0.03269890361453354,0.04430372836218373,-0.0011702124477851045
575.0,600.0,656,1.3561760670731706,0.010413590437656772,-0.03584263627052153,0.04383938230022921,0.03998978658536583,-0.005484154224603001
