id,year,acc,dth,se,sl,cause,kind,n_pt,dsi_mean,dsi_med,dsi_p90,road_class,width,n_edge,sev_n,sev_ratio,set,name,full,cas,lon,lat
59648,2019,13,0,1,12.0,U턴중 / 기타 / 안전거리미확보,risk,239.0,1.482818410041841,1.3986,1.8609,3.694560669456067,10.506276150627615,49.0,1,0.07692307692307693,risk,,,,,
59649,2019,4,0,1,3.0,기타,risk,75.0,1.2402093333333333,1.1668,1.4285200000000002,2.64,27.90976,7.0,1,0.25,risk,,,,,
59650,2019,17,0,2,22.0,U턴중 / 기타,risk,356.0,1.5011634831460676,1.46705,1.87645,3.502808988764045,13.446629213483146,90.0,2,0.11764705882352941,risk,,,,,
114735,2020,22,0,3,25.0,기타,risk,55.0,1.2800945454545454,1.2322,1.39338,2.8727272727272726,27.054545454545455,10.0,3,0.13636363636363635,risk,,,,,
110229,2021,7,0,1,9.0,기타,risk,141.0,1.527186524822695,1.4934,1.8596,3.524822695035461,10.794326241134751,40.0,1,0.14285714285714285,risk,,,,,
110230,2021,6,0,4,7.0,기타,risk,156.0,1.5042608974358975,1.4545,1.90385,3.6346153846153846,12.583333333333334,43.0,4,0.6666666666666666,risk,,,,,
110231,2021,9,0,1,13.0,U턴중 / 기타,risk,156.0,1.2558820512820512,1.18875,1.45025,3.576923076923077,16.346153846153847,20.0,1,0.1111111111111111,risk,,,,,
110232,2021,6,0,1,6.0,기타,risk,91.0,1.2328142857142856,1.1613,1.4009,2.8351648351648353,26.285714285714285,11.0,1,0.16666666666666666,risk,,,,,
110233,2021,7,0,2,5.0,기타 / 신호위반,risk,174.0,1.4919304597701148,1.42605,1.8931900000000002,3.6379310344827585,12.218390804597702,51.0,2,0.2857142857142857,risk,,,,,
110234,2021,16,0,1,24.0,U턴중 / 기타 / 안전거리미확보,risk,256.0,1.430493359375,1.35565,1.7949000000000002,3.6015625,12.12890625,66.0,1,0.0625,risk,,,,,
110235,2021,15,0,1,20.0,기타,risk,159.0,1.3828641509433963,1.2943,1.77962,3.2327044025157234,19.78616352201258,24.0,1,0.06666666666666667,risk,,,,,
110236,2021,9,0,3,12.0,기타,risk,124.0,1.2464177419354838,1.1921,1.37934,3.2419354838709675,18.056451612903224,19.0,3,0.3333333333333333,risk,,,,,
110237,2021,6,0,0,9.0,기타 / 중앙선침범,risk,154.0,1.4452857142857143,1.40945,1.71375,3.3766233766233764,17.40909090909091,27.0,0,0.0,risk,,,,,
110238,2021,7,0,1,8.0,기타,risk,88.0,1.3613727272727272,1.2528000000000001,1.6955799999999999,3.3068181818181817,19.28409090909091,17.0,1,0.14285714285714285,risk,,,,,
105920,2022,13,1,2,22.0,기타,risk,50.0,1.3736760000000001,1.30515,1.7822900000000002,3.34,15.9,11.0,3,0.23076923076923078,risk,,,,,
105921,2022,12,0,0,17.0,기타,risk,54.0,1.3640259259259258,1.2652999999999999,1.7006600000000003,3.1666666666666665,20.72222222222222,14.0,0,0.0,risk,,,,,
105922,2022,16,0,4,22.0,기타,risk,51.0,1.2476764705882353,1.2299,1.3532,2.764705882352941,28.88235294117647,8.0,4,0.25,risk,,,,,
99530,2023,11,0,3,13.0,기타,risk,28.0,1.2668285714285716,1.1942,1.66716,2.892857142857143,20.25,4.0,3,0.2727272727272727,risk,,,,,
99531,2023,8,0,2,7.0,기타 / 신호위반,risk,24.0,1.1701,1.15565,1.22464,2.0,31.833333333333332,2.0,2,0.25,risk,,,,,
99532,2023,11,0,1,17.0,기타,risk,46.0,1.3406086956521739,1.26025,1.60935,3.0869565217391304,21.956521739130434,11.0,1,0.09090909090909091,risk,,,,,
99533,2023,12,0,2,15.0,기타,risk,41.0,1.3419048780487803,1.2832,1.464,3.1463414634146343,18.658536585365855,7.0,2,0.16666666666666666,risk,,,,,
99534,2023,16,0,1,21.0,기타,risk,51.0,1.247364705882353,1.2299,1.3794,2.7254901960784315,29.49019607843137,7.0,1,0.0625,risk,,,,,
99535,2023,8,0,0,10.0,기타,risk,24.0,1.1952875,1.17445,1.25539,3.2916666666666665,19.833333333333332,4.0,0,0.0,risk,,,,,
123156,2024,13,0,0,22.0,기타,risk,25.0,1.251788,1.1872,1.5282200000000006,2.72,23.0,3.0,0,0.0,risk,,,,,
123157,2024,12,0,3,10.0,기타,risk,47.0,1.3582148936170213,1.2564,1.71624,3.106382978723404,21.70212765957447,12.0,3,0.25,risk,,,,,
123158,2024,13,0,3,16.0,기타,risk,53.0,1.3547716981132074,1.2962,1.5249200000000003,3.2452830188679247,17.30188679245283,8.0,3,0.23076923076923078,risk,,,,,
123159,2024,14,0,1,17.0,기타,risk,50.0,1.245504,1.2287499999999998,1.35594,2.68,30.18,7.0,1,0.07142857142857142,risk,,,,,
127489,2025,9,1,5,9.0,기타,risk,43.0,1.2687720930232558,1.1871,1.5483800000000003,2.744186046511628,26.627906976744185,12.0,6,0.6666666666666666,risk,,,,,
127490,2025,12,1,5,13.0,기타,risk,51.0,1.3544490196078431,1.2832,1.5347,3.3137254901960786,15.941176470588236,11.0,6,0.5,risk,,,,,
127491,2025,11,0,4,10.0,기타,risk,54.0,1.3212777777777778,1.2422,1.641010000000001,2.925925925925926,26.01851851851852,9.0,4,0.36363636363636365,risk,,,,,
,2018,19,0,4,,,spot,100.0,1.389531,1.2968000000000002,1.7855900000000002,3.47,13.83,20.0,4,0.21052631578947367,spot,옥천오거리 인근,강원도 강릉시 옥천동(옥천오거리 인근),22.0,128.898824,37.756428
,2018,12,0,4,,,spot,57.0,1.2448701754385965,1.1785,1.39568,2.6666666666666665,29.210526315789473,7.0,4,0.3333333333333333,spot,교동교차로 인근,강원도 강릉시 유천동(교동교차로 인근),25.0,128.873446,37.765377
,2018,11,0,5,,,spot,91.0,1.4958417582417582,1.4518,1.8432,3.78021978021978,9.615384615384615,23.0,5,0.45454545454545453,spot,기업은행강릉지점앞교차로 인근,강원도 강릉시 금학동(기업은행강릉지점앞교차로 인근),19.0,128.895296,37.754187
,2019,12,1,4,,,spot,100.0,1.389531,1.2968000000000002,1.7855900000000002,3.47,13.83,20.0,5,0.4166666666666667,spot,옥천오거리 인근,강원도 강릉시 옥천동(옥천오거리 인근),17.0,128.898824,37.756428
,2019,11,0,1,,,spot,57.0,1.2448701754385965,1.1785,1.39568,2.6666666666666665,29.210526315789473,7.0,1,0.09090909090909091,spot,교동교차로 인근,강원도 강릉시 유천동(교동교차로 인근),25.0,128.873446,37.765377
,2019,10,0,1,,,spot,116.0,1.5138396551724138,1.44415,1.94265,3.5517241379310347,13.517241379310345,27.0,1,0.1,spot,교동사거리 인근,강원도 강릉시 교동(교동사거리 인근),18.0,128.891712,37.75778
,2020,13,0,4,,,spot,100.0,1.389531,1.2968000000000002,1.7855900000000002,3.47,13.83,20.0,4,0.3076923076923077,spot,옥천오거리 인근,강원도 강릉시 옥천동(옥천오거리 인근),16.0,128.898824,37.756428
,2020,12,0,7,,,spot,55.0,1.1856727272727274,1.1722,1.23158,2.6363636363636362,27.490909090909092,5.0,7,0.5833333333333334,spot,삼익타워앞교차로 인근,강원도 강릉시 노암동(삼익타워앞교차로 인근),25.0,128.891453,37.740909
,2020,10,1,4,,,spot,108.0,1.352424074074074,1.2637,1.65726,3.3518518518518516,17.305555555555557,27.0,5,0.5,spot,터미널오거리 인근,강원도 강릉시 교동(터미널오거리 인근),13.0,128.88181,37.75474
,2021,12,0,2,,,spot,100.0,1.389531,1.2968000000000002,1.7855900000000002,3.47,13.83,20.0,2,0.16666666666666666,spot,옥천오거리 인근,강원도 강릉시 옥천동(옥천오거리 인근),17.0,128.898824,37.756428
,2021,10,0,2,,,spot,57.0,1.2448701754385965,1.1785,1.39568,2.6666666666666665,29.210526315789473,7.0,2,0.2,spot,솔올교차로 인근,강원도 강릉시 유천동(솔올교차로 인근),16.0,128.873446,37.765377
,2021,9,0,3,,,spot,108.0,1.352424074074074,1.2637,1.65726,3.3518518518518516,17.305555555555557,27.0,3,0.3333333333333333,spot,터미널오거리 인근,강원도 강릉시 교동(터미널오거리 인근),14.0,128.88181,37.75474
,2022,16,0,1,,,spot,95.0,1.3110652631578947,1.2559,1.42738,3.0105263157894737,22.905263157894737,15.0,1,0.0625,spot,강릉역육거리 인근,강원도 강릉시 교동(강릉역육거리 인근),22.0,128.900517,37.76293
,2022,15,0,1,,,spot,67.0,1.3873910447761195,1.33,1.65022,3.656716417910448,9.805970149253731,27.0,1,0.06666666666666667,spot,금학동1021 인근,강원도 강릉시 옥천동(금학동1021 인근),25.0,128.898512,37.755155
,2022,10,0,0,,,spot,69.0,1.215772463768116,1.1868,1.32972,3.4347826086956523,19.36231884057971,9.0,0,0.0,spot,스타벅스강릉교동광장 인근,강원도 강릉시 교동(스타벅스강릉교동광장 인근),16.0,128.877161,37.76417
,2023,21,0,7,,,spot,103.0,1.3510747572815534,1.2747,1.77454,3.058252427184466,23.25242718446602,16.0,7,0.3333333333333333,spot,강릉역육거리 인근,강원도 강릉시 교동(강릉역육거리 인근),32.0,128.900517,37.76293
,2023,16,1,2,,,spot,88.0,1.411575,1.3465500000000001,1.7552,3.625,11.886363636363637,32.0,3,0.1875,spot,옥천오거리 인근,강원도 강릉시 옥천동(옥천오거리 인근),29.0,128.899494,37.755836
,2023,14,0,0,,,spot,121.0,1.4034512396694214,1.3268,1.7299,3.479338842975207,15.520661157024794,28.0,0,0.0,spot,임당사거리 인근,강원도 강릉시 교동(임당사거리 인근),19.0,128.895831,37.759164
,2024,20,0,5,,,spot,89.0,1.4057595505617977,1.3283,1.74988,3.5168539325842696,12.876404494382022,24.0,5,0.25,spot,옥천오거리 부근,강원 강릉시 옥천동(옥천오거리 부근),25.0,128.899032,37.756161
,2024,18,0,1,,,spot,122.0,1.4323,1.37405,1.76781,3.5163934426229506,16.69672131147541,24.0,1,0.05555555555555555,spot,강릉역육거리 회전교차로 부근,강원 강릉시 옥천동(강릉역육거리 회전교차로 부근),27.0,128.901227,37.762363
,2024,14,0,3,,,spot,59.0,1.2117474576271186,1.1661,1.22642,3.3389830508474576,13.813559322033898,7.0,3,0.21428571428571427,spot,홍제회전교차로 부근,강원 강릉시 홍제동(홍제회전교차로 부근),20.0,128.877607,37.74672
,2025,18,0,3,,,spot,91.0,1.301821978021978,1.2559,1.424,2.967032967032967,23.615384615384617,12.0,3,0.16666666666666666,spot,강릉역육거리 회전교차로 부근,강원 강릉시 옥천동(강릉역육거리 회전교차로 부근),24.0,128.900457,37.763189
,2025,16,0,4,,,spot,95.0,1.360337894736842,1.2832,1.7039400000000005,3.473684210526316,13.968421052631578,18.0,4,0.25,spot,옥천오거리 부근,강원 강릉시 옥천동(옥천오거리 부근),22.0,128.898533,37.756757
,2025,14,0,0,,,spot,54.0,1.2055351851851852,1.16345,1.22547,3.4074074074074074,12.814814814814815,7.0,0,0.0,spot,홍제회전교차로 부근,강원 강릉시 홍제동(홍제회전교차로 부근),23.0,128.87761,37.746576
