LINK_ID,F_NODE,T_NODE,ROAD_NAME,LANES,ROAD_RANK,n_dsi_pt,dsi_static,dsi_static_n,v_link,v_norm,p_dummy_raw,p_dummy,p_resid,dsi_dynamic,dsi_t_a020,dsi_t_a035,dsi_t_a050,dsi_t,d_near,data_source,length_m
2520186400,2520064104,2520064501,정원로,2,107,21,1.2214761904761904,0.14284029530485448,9010.600922125832,0.615283414617299,0.006314285714285696,0.014298189460206447,0.009184342882134267,0.25041177343272986,0.2288974778071548,0.21276175608797349,0.19662603436879217,0.21276175608797349,183.96299099441774,보간,130.868047126749
2520070100,2520068801,2520069802,율곡초교길43번길,1,107,8,1.4566999999999999,0.6358607576152637,9670.42122061576,0.6801451617766942,0.19358749999999997,0.7084059760684522,0.8825716160069976,0.8020058872233369,0.7687768613017223,0.7438550918605112,0.7189333224193003,0.7438550918605112,140.47872698498495,보간,29.14612499025099
2520105701,2520084603,2520084602,강릉대로457번길,1,107,10,1.50375,0.7344758289325097,8260.488880315566,0.5415457958922246,0.12386999999999997,0.4500056501199068,0.7364968292149574,0.6589063179525098,0.6740202201485098,0.6853556467955098,0.6966910734425098,0.6853556467955098,137.7005565735508,보간,11.845868633802342
2520666102,2520506600,2520041104,회산로,2,107,12,1.293275,0.2933279620781561,5654.492437591261,0.285370769520484,0.04510833333333331,0.15808410475586826,0.33304176689263065,0.3140687099385163,0.30992056036644433,0.30680944818739025,0.3036983360083362,0.30680944818739025,41.318556577984914,보간,18.40202519608776
2520059002,2520088403,2520088402,강릉대로547번길,1,107,6,1.3976833333333334,0.512163992636742,5560.222029243042,0.27610378666941243,0.0173833333333333,0.055324409744953784,0.12551935272250164,0.18545195743337214,0.2507943644740461,0.29980116975455157,0.34880797503505706,0.29980116975455157,520.239044271276,보간,11.730296612062272
2520237300,2520014412,2520090601,동해대로3304번길,1,107,0,,,9015.163801379398,0.6157319554111197,,,,,,,,,258.6726138597679,정적DSI없음,67.25546110718308
2520053500,2520091102,2520090701,경포로,2,107,15,1.1878,0.07225623737706115,6257.369366297266,0.3446348615883617,0.10339999999999999,0.3741358230009378,0.7026022304832714,0.5601312176630974,0.4625562216058901,0.3893749745629847,0.31619372752007924,0.3893749745629847,759.298754539354,보간,70.2600960405417
2520657102,2520085004,2520085003,송정길,1,107,10,1.1937799999999998,0.08479009766350362,2351.79718137004,0.0,0.03177,0.10864702395200009,0.30417668926306585,0.18311436693636562,0.16344951308179323,0.1487008726908639,0.13395223229993464,0.1487008726908639,108.94568208601412,보간,12.784679398999314
2520188201,2520055405,2520055404,홍제로,1,107,10,1.4838600000000002,0.6927871197189073,6297.7399177041625,0.3486033731725494,0.09425999999999993,0.34025940776559915,0.658211239886289,0.5349873089342206,0.566547271091158,0.590217242708861,0.6138872143265639,0.590217242708861,393.2421037129485,보간,14.413622505011679
2520208700,2520062403,2520061304,옥가로,2,107,21,1.324947619047619,0.35971260790567827,9258.496401384758,0.6396520706505371,0.13334285714285712,0.48511576412827334,0.7406516509949704,0.700453818017886,0.6323055759954445,0.5811943944786133,0.5300832129617821,0.5811943944786133,384.2975748725995,보간,126.4628776897772
2520133102,2520069903,2520072103,강변로534번길,1,107,21,1.2271857142857148,0.15480724743373359,10932.132380371711,0.8041740684647277,0.14707142857142858,0.5359992199600336,0.757708287776077,0.77620166849016,0.6519227842788748,0.5587136211204108,0.46550445796194684,0.5587136211204108,624.5312605799871,보간,145.76616939054838
2520191300,2520078303,2520077504,하슬라로232번길,1,107,10,1.34464,0.40098711485627186,4739.215350752875,0.1953970734654128,0.15399999999999997,0.5616792158792883,0.9442379182156134,0.6461992620050335,0.5971568325752812,0.5603750105029669,0.5235931884306527,0.5603750105029669,143.8092357992407,보간,6.323897122064427
2520156204,2520400900,2520613000,홍제로,1,107,15,1.42266,0.5645141682924362,8911.328008538958,0.6055246747974045,0.12808,0.4656095569186787,0.7323420074349443,0.6818687090452034,0.65839780089465,0.6407946197817349,0.6231914386688198,0.6407946197817349,147.8473868338945,보간,67.33899354459874
2520229501,2520093603,2520093602,-,1,107,5,1.23716,0.17571298382167894,3560.5021871613117,0.07952704739119411,0.00265999999999998,0.0007539771794943945,0.0861578832276405,0.08351881056473484,0.10195764521612366,0.11578677120466527,0.12961589719320687,0.11578677120466527,689.1379992597299,보간,11.371541752304713
2520159600,2520067404,2520067601,하슬라로,1,107,10,1.1587200000000002,0.011305625816901947,8736.488191706323,0.5883375466979097,0.020469999999999988,0.06676480380327748,0.054668707631751585,0.26706890558008256,0.21591624962744646,0.17755175766296935,0.13918726569849224,0.17755175766296935,145.3154579426496,보간,27.196344128281876
2520158201,2520093704,2520093703,창해로,1,107,6,1.1785666666666665,0.05290350995596486,3591.5254562988557,0.08257670112791976,0.07743333333333331,0.27789319911935995,0.6232232670019681,0.4080459337840968,0.33701744901847047,0.2837460854442506,0.23047472187003085,0.2837460854442506,764.962007255373,보간,12.501660367915694
2520105501,2520085204,2520085203,보래미상길,1,107,8,1.511725,0.7511911359198645,8119.860751301636,0.5277217499080745,0.06159999999999996,0.21920867236230027,0.37787010715066693,0.43751106096811515,0.5002470759584651,0.5472990872012274,0.5943510984439898,0.5472990872012274,270.6634171807829,보간,12.794710281120503
2520137801,2520059801,2520059804,옥천로,1,107,11,1.6884,1.0,11643.280670287111,0.8740814670077766,0.04230909090909085,0.14770901736987121,0.1685982943363219,0.44938059705956085,0.5595044776476488,0.6420973880887145,0.7246902985297804,0.6420973880887145,291.7367913267178,보간,12.41795851768015
2520183701,2520060309,2520060303,하슬라로,2,107,31,1.1694548387096775,0.03380545333940903,13269.478568082031,1.0,0.03882580645161288,0.13479860263635654,0.14038924119833807,0.48251432320139953,0.39277254922900146,0.32546621874970283,0.25815988827040426,0.32546621874970283,91.72307159048131,보간,210.27334808681758
2520115400,2520064602,2520064503,정원로,2,107,10,1.25121,0.20516126760504336,10362.527005367128,0.7481806413168606,0.03249999999999999,0.11135268950143079,0.10758801661928712,0.36254388124892134,0.3310673585201458,0.30745996647356405,0.28385257442698236,0.30745996647356405,184.79483324230992,보간,22.47173568596884
