point_id,dsi_refined,dsi_veh,road_occluded_frac,road_occluded_frac_veh,veh_blocked_fwd,veh_blocked_bwd,road_domain_m2,valid,sight_flag,sight_flag_veh,confidence,veh_extra_occ,dsi_veh_delta
10100,1.4129,1.6582,0.2286,0.4419,0.707,0.585,1026.2,True,False,False,2,0.21330000000000002,0.24529999999999985
10103,1.5176,1.7777,0.3197,0.5458,0.512,0.39,1124.5,True,False,False,0,0.22609999999999997,0.2601
10104,1.5084,1.7515,0.3117,0.523,0.61,0.22,1227.0,True,False,False,2,0.21130000000000004,0.2431000000000001
10106,1.1658,1.4257,0.0137,0.2398,0.585,0.293,1300.2,True,False,False,2,0.22610000000000002,0.2599
10108,1.4349,1.7366,0.2478,0.5101,0.585,0.341,1595.8,True,False,False,1,0.2623,0.30169999999999986
10110,1.4845,1.7524,0.2908,0.5238,0.463,0.098,2242.8,True,False,False,1,0.23300000000000004,0.2679
10112,1.6453,1.7138,0.4307,0.4903,0.39,0.0,2558.8,True,False,False,2,0.059599999999999986,0.0685
10114,1.2777,1.3623,0.1111,0.1846,0.683,1.0,2486.0,True,,True,1,0.07349999999999998,0.08460000000000001
10115,1.1636,1.2142,0.0118,0.0558,0.0,0.0,2478.2,True,False,False,2,0.044000000000000004,0.05059999999999998
10121,1.4298,1.4488,0.2433,0.2598,0.0,0.0,906.5,True,False,False,2,0.016499999999999987,0.019000000000000128
10123,1.5736,1.598,0.3684,0.3895,0.561,0.024,760.5,True,False,False,1,0.021100000000000008,0.024399999999999977
10126,1.8113,1.8309,0.575,0.5921,0.0,0.195,703.0,True,True,True,1,0.017100000000000004,0.019600000000000062
10127,1.5756,1.6002,0.3701,0.3915,0.0,0.366,507.0,True,False,False,1,0.02140000000000003,0.024600000000000177
1012,1.1647,1.3575,0.0128,0.1804,0.122,0.195,776.0,True,False,False,1,0.1676,0.19279999999999986
10130,1.5339,1.5632,0.3338,0.3593,0.0,0.317,346.5,True,True,True,1,0.025500000000000023,0.02929999999999988
10132,1.2397,1.2397,0.078,0.078,0.0,0.0,339.8,True,False,False,2,0.0,0.0
10134,1.3899,1.3899,0.2086,0.2086,0.0,0.0,332.0,True,False,False,2,0.0,0.0
10135,1.1732,1.1732,0.0202,0.0202,0.0,0.0,322.2,True,False,False,1,0.0,0.0
10137,1.1582,1.1582,0.0071,0.0071,0.0,0.0,316.8,True,False,False,2,0.0,0.0
1013,1.1615,1.384,0.01,0.2035,0.049,0.39,809.5,True,False,False,0,0.19349999999999998,0.22249999999999992
10140,1.1953,1.1953,0.0394,0.0394,0.0,0.0,317.2,True,False,False,2,0.0,0.0
10141,1.5489,1.5495,0.3469,0.3474,0.0,0.0,332.5,True,True,True,0,0.0005000000000000004,0.000600000000000156
10143,1.2028,1.2028,0.0459,0.0459,0.0,0.0,343.0,True,False,False,1,0.0,0.0
10145,1.73,1.73,0.5044,0.5044,0.0,0.0,573.0,True,False,False,1,0.0,0.0
10147,1.5527,1.5527,0.3502,0.3502,0.0,0.0,718.2,True,False,False,1,0.0,0.0
10150,1.7469,1.7469,0.5191,0.5191,0.366,0.0,662.2,True,False,False,2,0.0,0.0
10151,1.5454,1.5619,0.3438,0.3582,0.049,0.0,536.8,True,False,False,1,0.014400000000000024,0.01649999999999996
10153,1.5438,1.6681,0.3424,0.4505,0.0,0.244,394.0,True,False,False,0,0.10810000000000003,0.12429999999999986
10155,1.377,1.377,0.1974,0.1974,0.0,0.0,386.2,True,False,False,1,0.0,0.0
10158,1.2785,1.2785,0.1118,0.1118,0.0,0.0,384.8,True,False,False,2,0.0,0.0
10159,1.6669,1.6669,0.4495,0.4495,0.0,0.0,589.0,True,False,False,1,0.0,0.0
1015,1.274,1.5122,0.1078,0.3149,0.244,0.195,870.0,True,False,False,1,0.2071,0.23819999999999997
10161,1.8081,1.8466,0.5723,0.6057,0.0,0.0,898.5,True,False,False,0,0.033399999999999985,0.03849999999999998
10164,1.7722,1.8219,0.5411,0.5843,0.0,0.0,1118.5,True,False,False,0,0.043200000000000016,0.04970000000000008
10165,1.4809,1.6469,0.2878,0.4321,0.122,0.463,1199.5,True,False,False,2,0.14429999999999998,0.16599999999999993
10166,1.1605,1.1673,0.0091,0.0151,0.0,0.0,2206.0,True,False,False,2,0.006,0.006799999999999917
10168,1.2497,1.3799,0.0867,0.1999,0.439,0.439,2268.5,True,False,False,2,0.1132,0.13019999999999987
10170,1.4698,1.5084,0.2781,0.3116,0.0,0.146,2256.0,True,False,False,2,0.033499999999999974,0.03859999999999997
10172,1.5936,1.7247,0.3857,0.4997,0.0,0.146,1852.0,True,False,False,2,0.11399999999999999,0.1311
10174,1.2723,1.4601,0.1063,0.2697,0.049,0.268,1323.8,True,False,False,2,0.1634,0.18779999999999997
10177,1.3402,1.4472,0.1654,0.2584,0.024,0.146,1102.0,True,False,False,2,0.09300000000000003,0.10699999999999998
