항,재유도(원시),SE,D-14(절단),비율_재유도,비율_D14
R_dsi,-0.9590561778020783,0.32673444629514964,0.9583,1.0,1.0
R_aadt,0.9294101511442611,0.6191084545633638,2.3654,-0.9690883314825638,2.4683293331941982
R_res,1.4087053139743866,0.3879407382791364,0.9209,-1.4688454613814113,0.9609725555671502
