point_id,dsi_refined,dsi_static_n,v_pt,v_norm,veh_extra_occ,p_norm,p_resid,dsi_dynamic,dsi_t,d_near
1,1.1533,0.0038028203098262356,6374.993276109806,0.3596820190341779,0.1800999999999999,0.5662560445710485,0.9610067964520217,0.7216795350397198,0.4704226848842571,125.29101085601651
3,1.2186,0.07905256765274951,6398.210468598134,0.36199292475205674,0.0472999999999999,0.14871688455419518,0.6207810160119802,0.5177833556905307,0.3642275798773073,126.93773429862993
6,1.3379,0.21653028370191907,6413.130970635348,0.3634780256525534,0.0795,0.24995755437755907,0.7560764888837691,0.5998223005177452,0.4656700946322061,130.91979674794317
8,1.5712,0.48537815590871863,6412.3018892608125,0.36339550366416207,0.0075999999999999,0.02389531337445816,0.3814076719271973,0.3742388289585093,0.4131375933910826,134.44154755242883
10,1.5487,0.4594498356144495,6404.260399092119,0.36259510001413237,0.0059,0.018550309067013816,0.3679587605114618,0.36582402363352473,0.3985930578268484,138.59677570577432
12,1.5543,0.46590310644324545,6390.60934751499,0.36123635290633693,0.0105,0.0330132618989229,0.40528164957954155,0.3877516215036061,0.4151046412324799,143.30712432420017
13,1.3246,0.20120376548352875,6382.103880113761,0.3603897676329188,0.011,0.03458532198934779,0.4089678608455247,0.3896337797469076,0.323683274754725,145.8503073786084
15,1.2641,0.13148539313671614,6362.11365198787,0.3584000553754592,0.1041,0.3273029108264641,0.8309238566985371,0.6428593837719521,0.4638784870496195,151.30456940615633
17,1.1636,0.0156722291556472,6339.032600221721,0.3561027003215324,0.1071999999999999,0.3370496833870982,0.8405137656951964,0.6477181616764781,0.4265020852941873,157.20633983358337
18,1.1624,0.014289385406619663,6326.628193085569,0.3548680370265522,0.1198,0.376665597665806,0.871529777675383,0.6658984048971484,0.4378352480754633,160.3097425744853
19,1.1817,0.03653012237014817,6313.785745456833,0.35358977370200395,0.0632,0.19870839542970734,0.6964635410666974,0.5599997816555493,0.37678540090565893,163.50716756343718
22,1.15,0.0,6391.9106120796505,0.36136587329190717,0.0912,0.2867437604935017,0.7948969012786545,0.6223515521399291,0.40452850889095393,158.82661882666864
24,1.15,0.0,6483.994536294089,0.3705313771356147,0.0287,0.09023624919038924,0.5171351226817187,0.4587868319543693,0.29821144077034006,151.39201315091736
26,1.1851,0.040448179659060036,6577.39049519312,0.37982747336064504,0.0173,0.054393279128701524,0.44571477940329457,0.41949163159832004,0.28682642341957904,144.26776647561258
28,1.1787,0.033073012997579074,6672.8542075729865,0.38932938186657146,0.0093,0.029240317681903133,0.3882617209998848,0.3886866500248261,0.26422187706528966,137.28941090761492
30,1.1958,0.05277853642122351,6770.545366768532,0.3990529976088579,0.0027999999999999,0.008803536506379123,0.32182352263564107,0.35256085367498136,0.2476370426361661,130.44568221216122
31,1.15,0.0,6819.335317043775,0.40390926845740105,0.0027,0.00848912448829446,0.3206715816150213,0.35380018097828847,0.2299701176358875,127.18067006443218
33,1.15,0.0,6915.853068030653,0.41351608989993827,0.0092,0.028925905663818155,0.3818108512844142,0.39442953625339283,0.25637919856470537,121.00667956146468
35,1.15,0.0,7009.492318403589,0.4228364019580603,0.0338,0.10627126211272321,0.5346446261951389,0.49014495294878163,0.31859421941670807,115.35604867911421
37,1.15,0.0,7101.754179415874,0.43201961660654215,0.0377,0.11853333081803742,0.5529028913719618,0.5047913480153248,0.3281143762099611,109.98256316394541
40,1.1502,0.000230473958171256,7225.797032724868,0.44436612831840683,0.0,0.0,0.10554659601428407,0.2403967698713249,0.15633856630172113,103.22249536822487
42,1.1512,0.001382843749027792,7294.106562595632,0.4511652657784303,0.0017999999999999,0.005659416325529324,0.29846791844257575,0.3592414626822459,0.23399094605561957,99.71975623371841
44,1.1557,0.006568507807881564,7346.950457015529,0.45642504289538005,0.002,0.006288240361699599,0.3001382329224744,0.3623403832916908,0.2378202268723576,97.12453869428317
46,1.1653,0.01763125780010313,7381.394421908356,0.4598533969247171,0.0019,0.005973828343614619,0.29803594055984334,0.36243928819306315,0.24175647755552715,95.51084885941611
47,1.1613,0.0130217786366775,7391.0512660924005,0.46081458361655303,0.0017999999999999,0.005659416325529324,0.29616403640133626,0.3616949541929925,0.23965934274828227,95.08888140314717
49,1.1542,0.004839953121596888,7394.628633967106,0.46117065422589854,0.0027,0.00848912448829446,0.3059843336021196,0.3677484892103836,0.24073050157930825,95.03179257367914
52,1.1524,0.002765687498055584,7366.969761644003,0.458417649260562,0.0033,0.010375596596804338,0.3144511001036747,0.37174978666811587,0.24260535195859478,96.60942004105841
54,1.1662,0.018668390611873784,7324.894480387969,0.45422971792111133,0.0041,0.012890892741484179,0.3237530238451791,0.3756827480874001,0.2507277229709659,98.95632997182196
56,1.162,0.013828437490276896,7267.89930751779,0.4485567464391629,0.0133,0.04181679840530233,0.4010194678032485,0.41993930470034246,0.27780050117681954,102.23174870037799
58,1.1924,0.048860479132311646,7199.660567692684,0.44176465501286494,0.0157,0.04936268683934185,0.4180105978573897,0.42746471260526886,0.29495323088973385,106.34992074843657
60,1.1607,0.012330356762163732,7123.269958755709,0.4341611734517997,0.0095,0.029869141718073092,0.37847022232461697,0.40063522087323566,0.26472851843436046,111.27498071439463
62,1.208,0.06683744786967166,7040.190529472182,0.42589192520975094,0.0059,0.018550309067013816,0.3531851169220136,0.3821224266205331,0.2717726840577316,117.14710465075756
64,1.1716,0.024891187482498463,6963.45459573839,0.418254072005866,0.0011,0.0034585321989347795,0.29722958184540954,0.3453973289292712,0.23322017942290077,122.68646594999646
66,1.1555,0.006338033849710308,6894.938695261868,0.41143439360347456,0.0,0.0,0.11499251238336597,0.23297638110896918,0.15365295956822855,127.50502060341486
67,1.1775,0.03169016924855128,6861.536335933751,0.4081097149972739,0.0,0.0,0.11551088584264485,0.23196521984618723,0.16186895213701466,129.8661528958912
69,1.1683,0.021088367172672227,6793.1124269296315,0.401299192896605,0.0,0.0,0.11715240179702799,0.23024282465465964,0.15703876453596405,134.98009544197546
71,1.1689,0.021779789047186252,6723.528384292585,0.3943731977710566,0.0002999999999999,0.0009432360542546254,0.288100449256998,0.33039700316559334,0.22238097822415087,140.62017871949777
73,1.1692,0.022125499984443135,6654.22641638013,0.38747527874016346,0.0,0.0,0.12285450984909572,0.22817357586774067,0.15605674930858654,146.7257413018949
75,1.16,0.01152369790856408,6586.310798664141,0.3807153490289352,0.0028,0.008803536506379437,0.32536574127404677,0.34739488516049233,0.22983996962231745,153.24115523624442
77,1.1905,0.04667097652968446,6520.851489091258,0.37419990609342857,0.0,0.0,0.12775025918672964,0.2258372186555958,0.16312903391152683,160.03125482390507
79,1.2553,0.12134453897717985,6458.249593907111,0.36796887374083787,0.001,0.0031441201808497994,0.3031044810505702,0.32892050934129674,0.25626891971385585,167.03315853550552
81,1.2654,0.13298347386482956,6398.413245592369,0.3620131080070161,0.0119999999999999,0.037729442170197275,0.41458357332104595,0.39366052812606206,0.3024235591346307,174.32770743697571
83,1.1517,0.001959028644455932,6341.558851928742,0.3563541488770583,0.0646,0.20311016368289705,0.7012152977767538,0.563960560514675,0.36726002436009836,181.8796940565936
85,1.1568,0.007836114577823728,6295.800016040062,0.3517995777095154,0.0177,0.05565092720104145,0.45648542794608915,0.4148204595519328,0.27237593881099464,188.41083135973383
87,1.2259,0.08746486712600138,6244.554002760123,0.3466988444849173,0.0175999999999999,0.05533651518295615,0.4572053910839765,0.4132237855375509,0.2992081640935086,196.88799193123396
89,1.3654,0.2482204529504701,6196.753631841267,0.3419410706701614,0.0,0.0,0.14105517797488767,0.22100776326760663,0.23053220465660884,205.60568894529356
92,1.3534,0.2343920154601932,6149.526290082134,0.3372403328799973,0.0002999999999999,0.0009432360542546254,0.2973447759474715,0.31322320760661676,0.2856322903553685,214.97374724712864
94,1.6326,0.5561336610673021,6408.058484075178,0.36297313953414556,0.0,0.0,0.132847598202972,0.2244375636527791,0.3405311977478621,224.51800145836205
96,1.451,0.3468633070477787,6377.175037241744,0.359899178980514,0.002,0.006288240361699599,0.3207867757170833,0.33635351221592874,0.3400319404070762,234.19451015389697
98,1.5068,0.411165541377566,6348.805230690143,0.357075411713728,0.0,0.0,0.1347770994125101,0.2232518277083948,0.28902162749260474,243.89711805077485
100,1.346,0.22586447900785595,6322.688412207402,0.35447589391264533,0.0,0.0,0.13656260799447067,0.2232920957899042,0.22419242991618732,253.62282981002315
101,1.2836,0.15395660405841616,6314.253713542562,0.3536363525519506,0.0,0.0,0.13685059324962562,0.22313132545195094,0.19892017296421377,256.945168336083
104,1.3531,0.23404630452293632,6280.862110280606,0.3503127445426709,0.0,0.0,0.13808892984679186,0.2225540080957517,0.2265763118452663,271.7222145452031
105,1.3621,0.24441763264064412,6270.702606427274,0.3493015260003221,0.0,0.0,0.13857850478055522,0.22244626722602245,0.23013624512114003,276.67002026067604
108,1.3839,0.26953929408131355,6242.435744200479,0.3464880052191496,0.0,0.0,0.13924087086741158,0.22172523033940333,0.2384601526490719,291.5241238941774
110,1.3168,0.19221528111484876,6225.883340448398,0.34484047421407416,0.0,0.0,0.13973044580117497,0.22136423710950884,0.2111621025113778,301.4711002121586
112,1.2465,0.1112036848176433,6211.236016909869,0.34338256392910654,0.0,0.0,0.14016242368390738,0.22104403950149665,0.18259991536214798,311.4670806741121
113,1.2191,0.0796287525481779,6204.279448374043,0.3426901471343395,0.0,0.0,0.1405080059900933,0.2209764981655033,0.1715047871994394,316.4651661462744
116,1.162,0.013828437490276896,6184.752277160235,0.3407465248968673,0.0,0.0,0.141947932265868,0.22106977213300572,0.14853530500805062,331.4597690590842
117,1.1625,0.014404622385705291,6178.659020416329,0.340140037189231,0.0,0.0,0.14237991014860038,0.22108844071077138,0.14874910429699825,336.3346354726613
119,1.1983,0.05565946089836447,6167.044278540109,0.3389839726294468,0.0,0.0,0.14315747033751872,0.2210964182497061,0.16319348317673651,345.9766170008488
121,1.2221,0.083085861920747,6156.204789838851,0.33790507230886696,0.0006999999999999,0.0022008841265945454,0.304026033867066,0.31750989116690276,0.23546148093074826,355.65291984801974
124,1.2382,0.10163901555353516,6141.300062138908,0.3364215414951159,0.001,0.0031441201808497994,0.3099873286487732,0.3205081453616176,0.24390394992878875,370.23608604868224
126,1.1919,0.048284294236883504,6132.077144267743,0.3355035453310785,0.0272,0.08552006891911454,0.5179126828706371,0.4453138461298928,0.30635350296733954,379.9762265678535
127,1.173,0.026504505189697512,6127.663214640709,0.33506420817958804,0.0503,0.1581492450967449,0.6432726644395806,0.5206056988481036,0.3476702810676615,384.8512952150565
128,1.1777,0.03192064320672254,6124.1737086011635,0.33471688283164114,0.0039,0.012262068705314218,0.35281073609031216,0.3456093824933611,0.2358183237430376,389.8399281997579
132,1.1936,0.05024332288133944,6111.411940391971,0.3334466498721783,0.0002999999999999,0.0009432360542546254,0.2981799331874208,0.3122160864279543,0.2205256191866391,409.7800260783904
133,1.15,0.0,6109.749302034806,0.33328116041912453,0.002,0.006288240361699599,0.326373689667089,0.32912286302639915,0.21392986096715946,414.6458984968866
134,1.2231,0.08423823171160354,6108.080702219049,0.33311507759679265,0.0046999999999999,0.014777364849993741,0.3634949890565603,0.35140378429557273,0.2578958408911835,419.514925195066
136,1.2013,0.05911657027093382,6104.731674993081,0.33278173470144845,0.0066999999999999,0.02106560521169334,0.382905195254003,0.36295605795408625,0.25661223726498295,429.2620121711771
139,1.2084,0.06729839578601417,6099.6983928298205,0.3322807507630751,0.0006,0.0018864721085098794,0.30440041469876744,0.3154967884523619,0.22862735101914022,443.0494050655864
142,1.15,0.0,6096.989679663144,0.3320111410439795,0.0,0.0,0.14695887570556387,0.22060967731025333,0.14339629025166467,451.08970243599987
143,1.1988,0.05623564579379286,6095.804820293952,0.33189320696161684,0.0145999999999999,0.04590415464040676,0.44171178435664094,0.3980039905534214,0.27838506988755146,455.46888653208475
145,1.2365,0.09967998690907923,6093.382166270544,0.33165206992327984,0.001,0.0031441201808497994,0.31157124755212534,0.31956341485584483,0.24260421507447685,464.26488183852655
