point_id,dsi_refined,dsi_static_n,v_pt,v_norm,veh_extra_occ,p_norm,p_resid,dsi_dynamic,dsi_t,d_near,disp,dyn_conf
1,1.1533,0.0038028203098262356,6212.246449528528,0.3434831365766031,0.1800999999999999,0.5662560445710485,0.9615251699113005,0.715544440644091,0.46643487352709834,125.29101085601651,3.979457064491174,1
3,1.2186,0.07905256765274951,6234.554526243968,0.3457035541427024,0.0472999999999999,0.14871688455419518,0.6215009791498676,0.5117336039970158,0.3602952412765226,126.93773429862993,3.979457064491174,1
6,1.3379,0.21653028370191907,6248.8941554818375,0.34713083830786207,0.0795,0.24995755437755907,0.7573148254809354,0.5940615985860522,0.4619256383766056,130.91979674794317,3.979457064491174,1
8,1.5712,0.48537815590871863,6248.102237969879,0.34705201539646163,0.0075999999999999,0.02389531337445816,0.3823580232692086,0.36830623213585534,0.4092814054563575,134.44154755242883,3.979457064491174,1
10,1.5487,0.4594498356144495,6240.382146887493,0.3462836019617279,0.0059,0.018550309067013816,0.3688515148024421,0.35986948549183784,0.3947226080347519,138.59677570577432,3.979457064491174,1
12,1.5543,0.46590310644324545,6227.274690783259,0.3449789612187376,0.0105,0.0330132618989229,0.40525285105402603,0.38126384289958126,0.41088758513986373,143.30712432420017,3.979457064491174,1
13,1.3246,0.20120376548352875,6219.107930276582,0.34416608888023614,0.011,0.03458532198934779,0.4095438313558346,0.3835234898505464,0.31971158632209024,145.8503073786084,3.979457064491174,1
15,1.2641,0.13148539313671614,6199.9137118756735,0.34225560684950934,0.1041,0.3273029108264641,0.8319318050915793,0.6370406781912354,0.4600963284221537,151.30456940615633,3.979457064491174,1
17,1.1636,0.0156722291556472,6177.752540303531,0.3400498113758876,0.1071999999999999,0.3370496833870982,0.8417809008178782,0.6420919272199659,0.42284503289745434,157.20633983358337,3.979457064491174,1
18,1.1624,0.014289385406619663,6165.843046139085,0.3388644088697277,0.1198,0.376665597665806,0.8729697039511577,0.6603957965087486,0.43425855262300345,160.3097425744853,3.979457064491174,1
19,1.1817,0.03653012237014817,6153.513458072849,0.337637192634359,0.0632,0.19870839542970734,0.6979034673424721,0.5545174900086431,0.3732219113351699,163.50716756343718,3.979457064491174,1
22,1.15,0.0,6228.742044651449,0.34512501317768385,0.0912,0.2867437604935017,0.7959048496716968,0.6164944747470796,0.4007214085856018,158.82661882666864,3.979457064491174,1
24,1.15,0.0,6317.363570532006,0.3539458898184527,0.0287,0.09023624919038924,0.5188630342126483,0.45322601074375846,0.294596906983443,151.39201315091736,3.979457064491174,1
26,1.1851,0.040448179659060036,6407.236858251911,0.3628913596284184,0.0173,0.054393279128701524,0.4460027646584495,0.4129244254564971,0.28255773942739415,144.26776647561258,3.979457064491174,1
28,1.1787,0.033073012997579074,6499.08846400149,0.3720337398292013,0.0093,0.029240317681903133,0.38846331067849327,0.38192434148047505,0.25982637651146145,137.28941090761492,3.979457064491174,1
30,1.1958,0.05277853642122351,6593.072884397533,0.381388408124859,0.0027999999999999,0.008803536506379123,0.32121875359981567,0.3451662761007829,0.2428305672129371,130.44568221216122,3.979457064491174,1
31,1.15,0.0,6640.009107606337,0.38606016965000434,0.0027,0.00848912448829446,0.3196924317474945,0.3461067914326934,0.2249694144312507,127.18067006443218,3.979457064491174,1
33,1.15,0.0,6732.855876194073,0.3953016026322152,0.0092,0.028925905663818155,0.38117728372307336,0.3867987626489118,0.25141919572179267,121.00667956146468,3.979457064491174,1
35,1.15,0.0,6822.929668128015,0.40426702947767984,0.0338,0.10627126211272321,0.53355028222555,0.48209554763189766,0.3133621059607335,115.35604867911421,3.979457064491174,1
37,1.15,0.0,6911.672871739887,0.4131000172195294,0.0377,0.11853333081803742,0.5526725031678378,0.49712265376041104,0.32312972494426717,109.98256316394541,3.979457064491174,1
40,1.1502,0.000230473958171256,7030.9824626564305,0.42497540723429694,0.0,0.0,0.10877203087201935,0.23462097466420584,0.15258429941709373,103.22249536822487,3.979457064491174,1
42,1.1512,0.001382843749027792,7096.685380094145,0.43151509749462746,0.0017999999999999,0.005659416325529324,0.29976385209077294,0.35220084776150706,0.22941454635713932,99.71975623371841,3.979457064491174,1
44,1.1557,0.006568507807881564,7147.514159667837,0.43657430167741984,0.002,0.006288240361699599,0.3015493606727336,0.3552892871925987,0.23323701440794772,97.12453869428317,3.979457064491174,1
46,1.1653,0.01763125780010313,7180.6476140395525,0.43987221503189505,0.0019,0.005973828343614619,0.2999654417693814,0.35564833752786185,0.2373423596231463,95.51084885941611,3.979457064491174,1
47,1.1613,0.0130217786366775,7189.939169858471,0.4407970430222183,0.0017999999999999,0.005659416325529324,0.29803594055984334,0.3548548593398686,0.23521328109375172,95.08888140314717,3.979457064491174,1
49,1.1542,0.004839953121596888,7193.389769195225,0.44114049582088993,0.0027,0.00848912448829446,0.3086625964750605,0.3613888004147006,0.23659670386211432,95.03179257367914,3.979457064491174,1
52,1.1524,0.002765687498055584,7166.80841625299,0.4384947409332544,0.0033,0.010375596596804338,0.31652459394079024,0.365068712443791,0.23826265371278363,96.60942004105841,3.979457064491174,1
54,1.1662,0.018668390611873784,7126.363399938999,0.43446907678343555,0.0041,0.012890892741484179,0.3250489574933763,0.3685981649708199,0.24612274394518877,98.95632997182196,3.979457064491174,1
56,1.162,0.013828437490276896,7071.5763403364135,0.4290158881877416,0.0133,0.04181679840530233,0.4019410206197443,0.41271681791180725,0.2731058847642716,102.23174870037799,3.979457064491174,1
58,1.1924,0.048860479132311646,7005.9843610797425,0.4224872400754673,0.0157,0.04936268683934185,0.41913374035249396,0.42046843324223737,0.2904056493037634,106.34992074843657,3.979457064491174,1
60,1.1607,0.012330356762163732,6932.5628073983535,0.41517928118667524,0.0095,0.029869141718073092,0.37855661790116346,0.39313243788879715,0.25985170949447545,111.27498071439463,3.979457064491174,1
62,1.208,0.06683744786967166,6852.722931899599,0.4072324794836889,0.0059,0.018550309067013816,0.3522059670544868,0.3741065190013092,0.26656234410523605,117.14710465075756,3.979457064491174,1
64,1.1716,0.024891187482498463,6778.981936135059,0.39989272516843205,0.0011,0.0034585321989347795,0.2969991936412856,0.33795081918908987,0.2283799480917829,122.68646594999646,3.979457064491174,1
66,1.1555,0.006338033849710308,6713.138582044888,0.39333905665197416,0.0,0.0,0.11571247552125331,0.2262078548112802,0.14925341747473073,127.50502060341486,3.979457064491174,1
67,1.1775,0.03169016924855128,6681.039831823443,0.3901441317935619,0.0,0.0,0.11649003571017164,0.22540436595136096,0.15760439710537757,129.8661528958912,3.979457064491174,1
69,1.1683,0.021088367172672227,6615.292990765436,0.38360006962886206,0.0,0.0,0.11781476788388434,0.22359731797838547,0.15271918519638586,134.98009544197546,3.979457064491174,1
71,1.1689,0.021779789047186252,6548.442021217526,0.3769461088688919,0.0002999999999999,0.0009432360542546254,0.2877836654763276,0.3232703179465682,0.21774863283178453,140.62017871949777,3.979457064491174,1
73,1.1692,0.022125499984443135,6481.873938132861,0.3703203049993705,0.0,0.0,0.12518719041585072,0.22275017002009162,0.15253153550761464,146.7257413018949,3.979457064491174,1
75,1.16,0.01152369790856408,6416.65041693383,0.363828331081559,0.0028,0.008803536506379437,0.3261145029374496,0.34112460653880516,0.22576428851822078,153.24115523624442,3.979457064491174,1
77,1.1905,0.04667097652968446,6353.79842866051,0.35757240590223816,0.0,0.0,0.1319836424375072,0.2217679702964701,0.16048402247809512,160.03125482390507,3.979457064491174,1
79,1.2553,0.12134453897717985,6293.702610368811,0.35159081402024334,0.001,0.0031441201808497994,0.3044580117497984,0.3232168670534355,0.25256155222674603,167.03315853550552,3.979457064491174,1
81,1.2654,0.13298347386482956,6236.275632233248,0.3458748631273568,0.0119999999999999,0.037729442170197275,0.41524593940790233,0.38763625104824523,0.2985077790340498,174.32770743697571,3.979457064491174,1
83,1.1517,0.001959028644455932,6181.724504926785,0.34044515787455254,0.0646,0.20311016368289705,0.702684022578044,0.5585129544260543,0.3637190804024949,181.8796940565936,3.979457064491174,1
85,1.1568,0.007836114577823728,6137.82957369199,0.33607610904888674,0.0177,0.05565092720104145,0.4567446146757286,0.4087185494362455,0.2684096972357979,188.41083135973383,3.979457064491174,1
87,1.2259,0.08746486712600138,6088.690845559817,0.33118512285979346,0.0175999999999999,0.05533651518295615,0.45789655569634835,0.4074654054273995,0.2954652170219102,196.88799193123396,3.979457064491174,1
89,1.3654,0.2482204529504701,6042.8698339034045,0.3266243630741721,0.0,0.0,0.14465499366432438,0.21707880268944377,0.227978380280803,205.60568894529356,3.979457064491174,1
92,1.3534,0.2343920154601932,5997.610374562578,0.32211949697412995,0.0002999999999999,0.0009432360542546254,0.2985831125446377,0.3079505935475756,0.2822050912169918,214.97374724712864,3.979457064491174,1
94,1.6326,0.5561336610673021,6252.050708773856,0.34744502345557027,0.0,0.0,0.13578504780555237,0.2200257181142595,0.3376634981478244,224.51800145836205,3.979457064491174,1
96,1.451,0.3468633070477787,6222.690992514523,0.34452272627372527,0.002,0.006288240361699599,0.32142034327842417,0.33061509171055403,0.3363019670785826,234.19451015389697,3.979457064491174,1
98,1.5068,0.411165541377566,6195.7413616092535,0.3418403151172075,0.0,0.0,0.13797373574472988,0.21911263433497596,0.28633115179988244,243.89711805077485,3.979457064491174,1
100,1.346,0.22586447900785595,6170.950700041907,0.3393727953430237,0.0,0.0,0.13886649003571017,0.21866799954802096,0.2211867673589632,253.62282981002315,3.979457064491174,1
101,1.2836,0.15395660405841616,6162.948381898779,0.3385762906509712,0.0,0.0,0.13935606496947356,0.21864571479070963,0.1960045260344069,256.945168336083,3.979457064491174,1
104,1.3531,0.23404630452293632,6131.2984885118285,0.33542604241854906,0.0,0.0,0.1405944015666398,0.21813739462569967,0.2237055130897325,271.7222145452031,3.979457064491174,1
105,1.3621,0.24441763264064412,6121.676947239355,0.33446836957535137,0.0,0.0,0.14093998387282572,0.21796428138243093,0.22722295432280554,276.67002026067604,3.979457064491174,1
108,1.3839,0.26953929408131355,6094.9251601764245,0.331805650656245,0.0,0.0,0.14226471604653843,0.21770200802120165,0.23584505814224083,291.5241238941774,3.979457064491174,1
110,1.3168,0.19221528111484876,6079.277727319734,0.3302481952456983,0.0,0.0,0.14307107476097225,0.21756756871389324,0.20869426805422767,301.4711002121586,3.979457064491174,1
112,1.2465,0.1112036848176433,6065.445387220342,0.32887140372177054,0.0,0.0,0.1437046423223131,0.21740101335929715,0.1802319483697183,311.4670806741121,3.979457064491174,1
113,1.2191,0.0796287525481779,6058.878650059168,0.3282177884984314,0.0,0.0,0.1441366202050455,0.2174009251858131,0.1691806647626408,316.4651661462744,3.979457064491174,1
116,1.162,0.013828437490276896,6040.455650092052,0.32638406911199425,0.0,0.0,0.14491418039396384,0.21713919610373994,0.14598043058902788,331.4597690590842,3.979457064491174,1
117,1.1625,0.014404622385705291,6034.710027844315,0.32581218294135833,0.0,0.0,0.14517336712360326,0.21706761581906978,0.1461355681173922,336.3346354726613,3.979457064491174,1
119,1.1983,0.05565946089836447,6023.7621532781495,0.32472249451558116,0.0,0.0,0.14551894942978919,0.21684196037393438,0.16042808555748492,345.9766170008488,3.979457064491174,1
121,1.2221,0.083085861920747,6013.550558559947,0.32370609114834287,0.0006999999999999,0.0022008841265945454,0.3052643704642322,0.31260417529650825,0.23227276561499183,355.65291984801974,3.979457064491174,1
124,1.2382,0.10163901555353516,5999.518419507257,0.32230941278651104,0.001,0.0031441201808497994,0.3112832622969704,0.31567167019180753,0.2407602410684122,370.23608604868224,3.979457064491174,1
126,1.1919,0.048284294236883504,5990.840286626858,0.3214456413850417,0.0272,0.08552006891911454,0.5193814076719272,0.44060297268974674,0.3032914352312446,379.9762265678535,3.979457064491174,1
127,1.173,0.026504505189697512,5986.688413852635,0.3210323878644586,0.0503,0.1581492450967449,0.6444534039857159,0.5157318395694555,0.3445022725365402,384.8512952150565,3.979457064491174,1
128,1.1777,0.03192064320672254,5983.410649407575,0.3207061380561858,0.0039,0.012262068705314218,0.353617094804746,0.34051853401881904,0.23250927223458526,389.8399281997579,3.979457064491174,1
